"year","month","PRCP","TMIN","TMAX","TAVG","grow.yr","PDSI","quarter"
1917,10,0,-1.6,19.3,8.9,1918,-1.07,1
1917,11,0,-6,13.4,3.7,1918,-1.8,1
1917,12,0,-8,11.8,1.9,1918,-2.65,1
1918,1,50.9,-10.7,4.6,-3.1,1918,-2.36,2
1918,2,54,-7.7,5.8,-1,1918,-2.33,2
1918,3,131.9,-4.4,8.6,2.1,1918,-1.94,2
1918,4,7.9,-3.4,12.8,4.7,1918,-2.07,3
1918,5,0,-2.5,15.6,6.6,1918,-2.41,3
1918,6,49.9,7.5,26.2,16.9,1918,-2.25,3
1918,7,93.3,8.4,24,16.2,1918,-1.71,4
1918,8,67.1,7.1,23.4,15.2,1918,-1.64,4
1918,9,22.5,4.1,22.4,13.3,1918,-2.2,4
1918,10,15.4,0,16.6,8.3,1919,-2.2,1
1918,11,40.2,-7.3,6.7,-0.3,1919,0.52,1
1918,12,66.3,-11.1,3.4,-3.9,1919,0.87,1
1919,1,0,-13.4,4.2,-4.6,1919,0.38,2
1919,2,69.9,-12,1.7,-5.1,1919,0.8,2
1919,3,42.7,-8.9,5.1,-1.9,1919,0.89,2
1919,4,17.2,-2.9,13.9,5.5,1919,0.8,3
1919,5,89.9,1.2,19,10.1,1919,1.19,3
1919,6,0,4.2,24.1,14.1,1919,1.1,3
1919,7,213,10.4,23,16.7,1919,2.95,4
1919,8,59,8.6,24.5,16.5,1919,2.27,4
1919,9,81.8,5.4,20.4,12.9,1919,2.48,4
1919,10,99.2,-3.6,11.2,3.8,1920,2.46,1
1919,11,115.9,-5.8,8.2,1.2,1920,3.31,1
1919,12,24.9,-9.9,5.6,-2.1,1920,2.81,1
1920,1,47.1,-8.5,5.1,-1.7,1920,2.97,2
1920,2,163.5,-6.4,6,-0.2,1920,4.07,2
1920,3,78.4,-7.4,6.3,-0.5,1920,4.1,2
1920,4,27.8,-5.3,8.9,1.8,1920,3.86,3
1920,5,28.7,-0.5,17.9,8.7,1920,4.35,3
1920,6,2.1,3.2,22.7,13,1920,5.1,3
1920,7,50.8,7.8,26.4,17.1,1920,4.72,4
1920,8,60.4,7.1,23.4,15.3,1920,4.21,4
1920,9,23.2,2.9,21,12,1920,3.65,4
1920,10,74.7,-3.1,13.6,5.3,1921,3.82,1
1920,11,24.6,-7,8.8,0.9,1921,-0.42,1
1920,12,25.9,-11.8,4.2,-3.8,1921,-0.98,1
1921,1,68.7,-11.1,4.8,-3.2,1921,-1.25,2
1921,2,11.9,-9.3,7.3,-1,1921,-1.86,2
1921,3,37.9,-4.8,10.5,2.8,1921,-2.45,2
1921,4,37.3,-5.6,11.8,3.1,1921,-2.54,3
1921,5,60.1,-1.5,15.7,7.1,1921,-2.88,3
1921,6,21.1,3.6,23.1,13.4,1921,-3.17,3
1921,7,125.3,9.2,24.6,16.9,1921,1.07,4
1921,8,118.6,8.9,22.6,15.8,1921,2.29,4
1921,9,47.784,5.236,23.095,14.164,1921,-0.85,4
1921,10,79.5,0.3,17.5,8.9,1922,-0.75,1
1921,11,16.5,-5.9,12.9,3.5,1922,-1.29,1
1921,12,116,-6.5,7.7,0.6,1922,0.36,1
1922,1,113,-14.2,2.3,-5.9,1922,0.71,2
1922,2,47,-10.6,4,-3.3,1922,0.43,2
