"standtree","SiteID","PlotID","TreeID","Position","HT","newring","year","RW","ringDens","minDens","maxDens","EW.dens","LW.dens","EW.width","LW.width","GSL","Y2002","Y1996"
"TW-1-146-1","TW",1,146,1,0.5,2,1921,1.82,493.936483516484,421.96,563.2,477.194645669291,532.594909090909,1.27000000000001,0.54999999999999,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,3,1922,1.82,523.378131868132,426.08,682.81,498.370927152318,645.187419354839,1.51,0.30999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,4,1923,1.71999999999998,452.595872093023,388.66,615.22,476.891190476191,429.404886363636,0.83999999999998,0.87999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,5,1924,1.37999999999998,433.273115942029,333.12,585.49,407.810353982301,548.3648,1.13,0.249999999999991,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,6,1925,1.13,457.375752212389,361.97,574.66,435.588461538462,547.495909090909,0.91,0.219999999999999,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,7,1926,1.33,454.528872180451,354.4,566.77,433.510092592593,545.33,1.08,0.25,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,8,1927,1.91,476.204659685864,378.04,697.13,458.3808,671.153125,1.75,0.16,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,9,1928,1.78,457.341011235955,361.79,673.19,444.709760479042,649.106363636364,1.67,0.109999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,10,1929,2.47,470.81987854251,383.98,709.23,457.620431034483,674.971333333333,2.32,0.150000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,11,1930,2.5,472.05336,366.31,707.56,443.805296803653,671.612258064516,2.19,0.310000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,12,1931,3.28,493.713353658537,375.03,708.89,471.563630136986,673.372222222222,2.92,0.359999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,13,1932,3.09,486.354110032362,390.5,729.07,458.508639705882,691.055945945946,2.72,0.369999999999999,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,14,1933,3.71,497.590053908356,377.86,800.63,466.158821752266,757.6835,3.31,0.400000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,15,1934,3.77,493.017692307692,373.94,797.22,473.143,750.652592592593,3.5,0.269999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,16,1935,3.21,516.797476635514,411.68,731.89,493.25458781362,673.189523809524,2.79,0.420000000000004,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,17,1936,2.84,480.070950704225,384.62,739.14,462.794772727273,708.1165,2.64,0.199999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,18,1937,2.48,454.417177419355,360.79,661.67,437.116018099547,596.03037037037,2.21,0.269999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,19,1938,2.84,435.184647887324,310.37,757.39,406.967548638132,703.76962962963,2.57,0.269999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,20,1939,2.28,474.550087719298,341.67,724.9,444.45365,689.524642857143,1.99999999999999,0.279999999999996,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,21,1940,2.81,436.13896797153,330.46,783.87,409.609536679537,748.462727272727,2.59,0.220000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,22,1941,2.55,456.69768627451,352.96,747.21,429.007217391304,711.45,2.3,0.249999999999995,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,23,1942,2.56999999999999,486.466887159533,350.26,730.54,468.453924050633,699.9205,2.37,0.199999999999998,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,24,1943,1.69,428.637278106509,302.16,731.33,402.670909090909,695.225333333333,1.53999999999999,0.150000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,25,1944,2.92,404.068116438356,299.2,668.5,393.134731182796,638.715384615385,2.79,0.129999999999997,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,26,1945,1.95,441.157435897436,339.08,742.43,421.035856353591,701.300714285714,1.81,0.140000000000003,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,27,1946,2.81,451.820106761566,329.31,713.36,434.411384615385,667.356666666667,2.6,0.210000000000003,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,28,1947,1.87000000000001,452.441711229947,321.18,680.95,435.180348837209,650.372,1.72000000000001,0.150000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,29,1948,2.37,434.533375527426,325.59,673.84,420.338054298643,630.60625,2.21,0.159999999999991,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,30,1949,2.1,445.603428571429,325.86,661.99,425.773439153439,624.073333333333,1.89,0.210000000000003,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,31,1950,1.74,495.418390804598,374.94,680.95,461.802127659574,639.051515151515,1.41000000000001,0.330000000000007,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,32,1951,0.859999999999994,461.693488372093,376.03,626.74,452.174,588.62,0.799999999999992,0.0599999999999972,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,33,1952,2.92,371.603219178082,258.8,710.57,356.975251798561,662.072857142857,2.78,0.139999999999995,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,34,1953,1.71999999999999,434.599709302326,354.31,652.81,414.351548387097,619.215294117647,1.54999999999999,0.169999999999997,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,35,1954,1.37999999999999,425.721304347826,327.8,589.01,412.428376068376,499.781904761905,1.17,0.210000000000003,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,36,1955,2.07,395.57347826087,300.85,583.83,374.674510869565,562.765217391304,1.84,0.229999999999999,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,37,1956,1.94000000000001,450.259742268041,325.68,721.31,419.042923976608,682.35,1.71,0.229999999999999,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,38,1957,2.48999999999999,447.142690763052,349.72,715.26,428.546796536797,685.79,2.31,0.180000000000002,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,39,1958,1.95,428.162717948718,309.49,639.51,403.59493902439,558.134193548387,1.64,0.309999999999997,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,40,1959,0.769999999999991,456.239480519481,385.08,560.55,443.539696969697,532.438181818182,0.659999999999991,0.109999999999994,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,41,1960,1.46999999999999,383.937551020408,282.75,577.75,361.696356589147,543.332777777778,1.29,0.179999999999988,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,42,1961,1.80000000000001,460.418333333333,306.96,726.25,397.969142857143,678.9905,1.4,0.400000000000001,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,43,1962,1.54,425.887077922078,332.24,645.93,413.005763888889,611.378,1.44000000000001,0.100000000000003,100,1,1
"TW-1-146-1","TW",1,146,1,0.5,44,1963,1.26,422.223968253968,306.43,716.71,387.793513513514,677.009333333333,1.10999999999999,0.150000000000001,100,1,1
