"UnitID";"TreeID";"HM200_full";"HM200_16";"Tree.Key"
1;44;8038;8563;"1-44"
1;146;11253;8563;"1-146"
1;188;15026;8136;"1-188"
2;119;7677;8694;"2-119"
3;152;7776;8891;"3-152"
5;366;7874;8530;"5-366"
5;403;13615;15026;"5-403"
6;278;8432;8497;"6-278"
11;60;8957;9908;"11-60"
11;73;8268;9088;"11-73"
14;189;8038;9482;"14-189"
14;212;8727;9941;"14-212"
14;237;8694;9416;"14-237"
15;36;7382;8005;"15-36"
15;76;8694;9285;"15-76"
15;139;7841;8465;"15-139"
16;34;8038;9350;"16-34"
16;44;8163;9514;"16-44"
16;55;7448;8333;"16-55"
17;19;8005;8957;"17-19"
17;117;7874;8825;"17-117"
17;163;8333;9547;"17-163"
18;67;7776;8661;"18-67"
18;111;7480;7907;"18-111"
18;117;7743;15289;"18-117"
