"UnitID";"TreeID";"Tree.Key";"Height";"Diameter"
1;44;"1-44";4,5;12,5
1;44;"1-44";8;12,5
1;44;"1-44";12;11,9
1;44;"1-44";16;11,8
1;44;"1-44";20;11,2
1;44;"1-44";24;10,6
1;44;"1-44";28;9,5
1;44;"1-44";32;9
1;44;"1-44";36;8,2
1;44;"1-44";40;6,6
1;44;"1-44";44;4,9
1;146;"1-146";0,5;18,2
1;146;"1-146";4,5;15,2
1;146;"1-146";8;15,1
1;146;"1-146";12;14,2
1;146;"1-146";16;13,6
1;146;"1-146";20;12,2
1;146;"1-146";24;10,8
1;146;"1-146";28;10,1
1;146;"1-146";32;8,6
1;146;"1-146";36;4,4
1;188;"1-188";0,5;16,5
1;188;"1-188";4,5;13,5
1;188;"1-188";8;13,2
1;188;"1-188";12;12,6
1;188;"1-188";16;12,3
1;188;"1-188";20;11,8
1;188;"1-188";24;11
1;188;"1-188";28;10,5
1;188;"1-188";32;10,8
2;119;"2-119";0,5;15,4
2;119;"2-119";4,5;12,5
2;119;"2-119";8;12,3
2;119;"2-119";12;11,8
2;119;"2-119";16;11,5
2;119;"2-119";20;10,7
2;119;"2-119";24;10
2;119;"2-119";28;9,6
2;119;"2-119";32;8,9
2;119;"2-119";36;8
2;119;"2-119";40;7,6
2;119;"2-119";44;6,4
2;119;"2-119";48;5,3
2;119;"2-119";52;4,3
2;211;"2-211";4,5;12,7
2;211;"2-211";8;12,5
2;211;"2-211";12;12
2;211;"2-211";16;11,6
2;211;"2-211";20;11,2
2;211;"2-211";24;10,6
2;211;"2-211";28;9,8
2;211;"2-211";32;9,1
2;211;"2-211";36;8
2;211;"2-211";40;7,1
2;211;"2-211";44;6
2;211;"2-211";48;4,4
2;316;"2-316";0,5;16,7
2;316;"2-316";4,5;14,3
2;316;"2-316";8;12,8
2;316;"2-316";12;12,6
2;316;"2-316";16;12,1
2;316;"2-316";20;11,7
2;316;"2-316";24;10,8
2;316;"2-316";28;10,4
2;316;"2-316";32;9,8
2;316;"2-316";36;8,2
2;316;"2-316";40;6,5
3;152;"3-152";4,5;18,6
3;152;"3-152";8;17,9
3;152;"3-152";12;17,1
3;152;"3-152";16;17,1
3;152;"3-152";20;16,8
3;152;"3-152";24;15,7
3;152;"3-152";28;15,2
3;152;"3-152";32;14,2
3;152;"3-152";36;12
3;152;"3-152";40;11,1
3;152;"3-152";44;8,4
3;152;"3-152";48;7,5
3;152;"3-152";52;5,3
3;192;"3-192";0,5;17,9
3;192;"3-192";4,5;15,3
3;192;"3-192";8;14,6
3;192;"3-192";12;14,2
3;192;"3-192";16;13,8
3;192;"3-192";20;13
3;192;"3-192";24;12,2
3;192;"3-192";28;11,4
3;192;"3-192";32;10,6
3;192;"3-192";36;9
3;192;"3-192";40;8,7
3;216;"3-216";4,5;16,8
3;216;"3-216";8;16,2
3;216;"3-216";12;15,4
3;216;"3-216";16;14,8
3;216;"3-216";20;14,8
3;216;"3-216";24;14
3;216;"3-216";28;13,3
3;216;"3-216";32;12,4
3;216;"3-216";36;12,1
3;216;"3-216";40;11,3
3;216;"3-216";44;8,7
3;216;"3-216";48;9,4
4;327;"4-327";0,5;12
4;327;"4-327";4,5;9
4;327;"4-327";8;8,6
4;327;"4-327";12;8,1
4;327;"4-327";16;7,8
4;327;"4-327";20;7
4;327;"4-327";24;6,2
4;327;"4-327";28;5,3
4;434;"4-434";0,5;10,5
4;434;"4-434";4,5;9,3
4;434;"4-434";8;8,2
4;434;"4-434";12;8,3
4;434;"4-434";16;8,4
4;434;"4-434";20;7,5
4;434;"4-434";24;7
4;434;"4-434";28;6,2
4;434;"4-434";32;6
4;434;"4-434";36;5,4
4;472;"4-472";0,5;11,2
4;472;"4-472";4,5;9,5
4;472;"4-472";8;10,2
4;472;"4-472";12;8,7
4;472;"4-472";16;8,1
4;472;"4-472";20;7,6
4;472;"4-472";24;6,5
4;472;"4-472";28;5,8
4;472;"4-472";32;3,8
5;235;"5-235";0,5;11,1
5;235;"5-235";4,5;8,8
5;235;"5-235";8;8,4
5;235;"5-235";12;8
5;235;"5-235";16;7,4
5;235;"5-235";20;6,9
5;235;"5-235";24;6,4
5;235;"5-235";28;5,9
5;235;"5-235";32;6
5;235;"5-235";36;5,5
5;235;"5-235";40;4,1
5;366;"5-366";0,5;13,9
5;366;"5-366";4,5;10,5
5;366;"5-366";8;10,4
5;366;"5-366";12;9,6
5;366;"5-366";16;9,3
5;366;"5-366";20;8,9
5;366;"5-366";24;8,4
5;366;"5-366";28;8
5;366;"5-366";32;7,2
5;366;"5-366";36;6
5;366;"5-366";40;5,2
5;366;"5-366";44;4
5;403;"5-403";0,5;14,5
5;403;"5-403";4,5;11
5;403;"5-403";8;11,2
5;403;"5-403";12;10,8
5;403;"5-403";16;10,4
5;403;"5-403";20;8,4
5;403;"5-403";24;7,3
5;403;"5-403";28;4,8
6;237;"6-237";0,5;12,4
6;237;"6-237";4,5;10,5
6;237;"6-237";8;10,2
6;237;"6-237";12;9,8
6;237;"6-237";16;9,6
6;237;"6-237";20;8,6
6;237;"6-237";24;7,8
6;237;"6-237";28;7,2
6;237;"6-237";32;5,9
6;237;"6-237";36;4,6
6;278;"6-278";0,5;16,7
6;278;"6-278";4,5;13
6;278;"6-278";8;12,6
6;278;"6-278";12;11,9
6;278;"6-278";16;11,8
6;278;"6-278";20;11,1
6;278;"6-278";24;11,1
6;278;"6-278";28;9,5
6;278;"6-278";32;7,9
6;278;"6-278";36;5,2
7;93;"7-93";4,5;21,3
7;93;"7-93";8;20,2
7;93;"7-93";12;18,6
7;93;"7-93";16;18,3
7;93;"7-93";20;17,9
7;93;"7-93";24;17,2
7;93;"7-93";28;15,6
7;93;"7-93";32;15,3
7;93;"7-93";36;13,3
7;93;"7-93";40;11,2
7;93;"7-93";44;8,9
7;93;"7-93";48;7,6
7;93;"7-93";52;6,5
7;93;"7-93";56;4,8
7;98;"7-98";4,5;20,6
7;98;"7-98";8;20
7;98;"7-98";12;20
7;98;"7-98";16;19,1
7;98;"7-98";20;18,2
7;98;"7-98";24;17,4
7;98;"7-98";28;16,1
7;98;"7-98";32;14
7;98;"7-98";36;12,9
7;98;"7-98";40;10
7;98;"7-98";44;8,7
7;98;"7-98";48;6,7
7;98;"7-98";52;5,3
7;122;"7-122";0,5;27,3
7;122;"7-122";4,5;21,2
7;122;"7-122";8;20,3
7;122;"7-122";12;19,4
7;122;"7-122";16;19,1
7;122;"7-122";20;18,3
7;122;"7-122";24;18,1
7;122;"7-122";28;17,3
7;122;"7-122";32;16
7;122;"7-122";36;15
7;122;"7-122";40;13,5
7;122;"7-122";44;11,7
7;122;"7-122";48;9,3
7;122;"7-122";52;8
7;122;"7-122";56;6,4
7;122;"7-122";60;4,1
8;439;"8-439";0,5;12,9
8;439;"8-439";4,5;9
8;439;"8-439";8;8,6
8;439;"8-439";12;6,3
8;439;"8-439";16;8
8;439;"8-439";20;7,6
8;439;"8-439";24;7,1
8;439;"8-439";28;6,5
8;439;"8-439";32;5,5
8;439;"8-439";36;4,7
