"SampleID","TestID","SiteID","PlotID","TreeID","Position","Blank.Num","Length","Velocity","Width","Depth","WeightFullPiece","WeightAfterTest","WeightOD","Notes"
"TW-14-189-2",115,"TW","14","14-189","1","2",16,4319,1.003,1,135.675,86.137,76.341,NA
"TW-14-189-1",116,"TW","14","14-189","1","1",16.031,2747,1.01,1.007,144.453,77.817,69.949,NA
"TW-11-73-1",117,"TW","11","11-73","1","1",16.031,2820,0.997,1.001,147.6,68.483,62.353,"B,T"
"TW-14-212-2",118,"TW","14","14-212","1","2",16,4512,1.001,0.996,126.03,126.006,112.423,NA
"TW-14-212-3",119,"TW","14","14-212","1","3",16,4755,1.002,0.994,120.781,120.746,107.968,NA
"TW-14-212-4",120,"TW","14","14-212","1","4",16.031,5030,1.002,0.996,129.178,129.148,115.941,NA
"TW-14-237-1",121,"TW","14","14-237","1","1",16,4078,0.996,0.992,124.609,64.877,58.934,NA
"TW-14-237-2",122,"TW","14","14-237","1","2",16,5215,0.997,0.995,119.157,119.137,106.803,NA
"TW-14-212-1",123,"TW","14","14-212","1","1",16,4340,1.003,0.998,139.427,139.405,126.694,NA
"TW-15-76-1",124,"TW","15","15-76","1","1",16,3569,0.994,0.997,132.347,67.573,61.561,NA
"TW-15-36-3",125,"TW","15","15-36","1","3",15.938,3934,0.999,0.989,114.862,114.855,103.494,NA
"TW-15-36-2",126,"TW","15","15-36","1","2",16,5985,0.997,0.992,126.982,126.981,113.791,NA
"TW-15-36-1",127,"TW","15","15-36","1","1",16,2920,0.993,0.995,122.073,56.929,52.417,NA
"TW-14-237-4",128,"TW","14","14-237","1","4",16,5093,1,0.998,110.521,110.503,100.471,NA
"TW-14-237-3",129,"TW","14","14-237","1","3",16,5005,0.997,0.992,110.598,110.589,99.609,NA
"TW-15-76-2",130,"TW","15","15-76","1","2",16,4727,0.997,0.992,120.006,119.999,108.748,NA
"TW-11-185-3",131,"TW","11","11-185","1","3",16,4633,0.997,0.991,128.981,128.973,116.021,NA
"TW-8-657-1",132,"TW","8","8-657","1","1",16,4109,0.996,0.992,105.195,59.413,53.696,NA
"TW-13-176-1",133,"TW","13","13-176","1","1",16,3904,0.994,0.994,99.074,48.068,42.94,NA
"TW-11-185-2",134,"TW","11","11-185","1","2",16,4951,0.999,0.994,132.238,132.233,120.127,NA
"TW-8-576-2",135,"TW","8","8-576","1","2",15.938,5336,0.989,0.984,122.122,122.118,110.27,NA
"TW-13-133-2",136,"TW","13","13-133","1","2",16,4390,1.005,0.998,117.021,117.006,105.819,NA
"TW-11-60-3",137,"TW","11","11-60","1","3",16.031,5218,0.999,0.988,139.557,139.539,127.171,NA
"TW-13-133-3",138,"TW","13","13-133","1","3",15.989,5338,0.999,0.997,126.835,116.819,105.633,NA
"TW-11-60-4",139,"TW","11","11-60","1","4",16.031,5163,0.993,0.99,136.533,136.532,126.292,NA
"TW-13-133-1",140,"TW","13","13-133","1","1",16,4740,1.002,0.978,184.899,184.898,166.566,"B,T"
"TW-13-94-2",141,"TW","13","13-94","1","2",15.938,5145,0.992,0.98,132.363,132.356,119.497,NA
"TW-13-94-1",142,"TW","13","13-94","1","1",16,6457,1,0.997,147.474,82.711,75.933,"B,T"
