"SampleID","TestID","Max.Load","MOR","MOE","PPL.Limit","PPL.Distance","Failure","Drop","Notes"
"TW-14-189-2",115,375,7880,888000,225,0.1738,3,"N",NA
"TW-14-189-1",116,352,7400,472000,182.5,0.265,3,"N",NA
"TW-11-73-1",117,294,6170,537000,202,0.259,5,"N","explosive"
"TW-14-212-2",118,511,10740,1139000,208,0.125,2,"N",NA
"TW-14-212-3",119,542,11390,1163000,250,0.1475,2,"N",NA
"TW-14-212-4",120,605,12700,1321000,289,0.15,2,"N",NA
"TW-14-237-1",121,462,9710,930000,281,0.208,3,"N","explosive"
"TW-14-237-2",122,554,11630,1216000,252,0.1425,2,"N",NA
"TW-14-212-1",123,569,11940,1127000,310,0.1888,1,"N",NA
"TW-15-76-1",124,496,10420,746000,250,0.23,3,"N",NA
"TW-15-36-3",125,409,8580,755000,220,0.2,2,"N","Some pinholes may have contributed"
"TW-15-36-2",126,296,6220,497000,171.2,0.236,3,"Y","brash but didn't snap apart; grain/knot may have contributed"
"TW-15-36-1",127,376,7900,475000,163.8,0.236,3,"N",NA
"TW-14-237-4",128,451,9480,1202000,256,0.1462,2,"N",NA
"TW-14-237-3",129,511,10740,1104000,294,0.1825,2,"N",NA
"TW-15-76-2",130,572,12020,1086000,332,0.21,2,"N",NA
"TW-11-185-3",131,611,12840,1217000,255,0.1438,1,"N",NA
"TW-8-657-1",132,392,8240,789000,249,0.216,5,"N",NA
"TW-13-176-1",133,370,7770,671000,220,0.225,3,"Y","failed at pith"
"TW-11-185-2",134,518,10870,825000,260,0.216,1,"N",NA
"TW-8-576-2",135,600,12600,1378000,269,0.1338,2,"N",NA
"TW-13-133-2",136,482,10130,1054000,236,0.1538,2,"N",NA
"TW-11-60-3",137,678,14230,1462000,405,0.19,2,"N",NA
"TW-13-133-3",138,560,11760,1310000,265,0.1388,2,"N",NA
"TW-11-60-4",139,682,14330,1377000,376,0.1875,2,"N",NA
"TW-13-133-1",140,107.5,2260,410000,107.5,0.18,5,"N","very bad- throw this out"
"TW-13-94-2",141,626,13150,1378000,306,0.1525,2,"N",NA
"TW-13-94-1",142,215,4520,662000,137.5,0.1425,5,"N","right at big knot"
"TW-8-576-1",143,408,8560,1042000,260,0.1712,1,"N","maybe som small pre-knot/distorted grain influence"
"TW-8-439-2",144,584,12260,1089000,294,0.185,2,"N",NA
"TW-11-60-2",145,669,14040,1295000,359,0.19,2,"N",NA
"TW-11-60-1",146,249,5220,723000,218,0.206,5,"N","big knot"
"TW-12-296-1",147,301,6330,452000,188.8,0.286,3,"N",NA
"TW-12-296-2",148,754,15830,1345000,434,0.221,2,"N","PDF has correct file name but wrong sample name"
"TW-12-21-2",149,364,7640,517000,191.2,0.254,1,"N",NA
"TW-12-21-3",150,515,10820,1006000,275,0.1875,1,"N",NA
"TW-12-21-4",151,565,11860,1196000,314,0.18,2,"N",NA
"TW-12-238-1",152,224,4700,328000,126.2,0.264,3,"Y","pith"
