"SampleID","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD","funkring"
"TW-1-146-1","TW","1","1-146","1",1,1920,3.07,2.36,0.71,0.97,459.4167752443,392.34,559.43,438.73093220339,528.175352112676,0
"TW-1-146-1","TW","1","1-146","1",2,1921,2.15,1.61,0.539999999999999,0.9,496.683255813954,421.96,563.2,484.669316770186,532.502592592593,0
"TW-1-146-1","TW","1","1-146","1",3,1922,1.82,1.55,0.27,0.56,523.378131868132,426.08,682.81,501.597741935484,648.413703703704,0
"TW-1-146-1","TW","1","1-146","1",4,1923,1.72,1.43,0.289999999999999,0.76,452.595872093023,388.66,615.22,454.302727272727,444.179310344828,1
"TW-1-146-1","TW","1","1-146","1",5,1924,1.39,1.14,0.25,0.29,434.122949640288,333.12,585.49,408.953070175439,548.8976,0
"TW-1-146-1","TW","1","1-146","1",6,1925,1.13,0.900000000000001,0.229999999999999,0.34,457.201150442478,361.97,574.66,434.301666666667,546.807826086957,0
"TW-1-146-1","TW","1","1-146","1",7,1926,1.28,1.07,0.210000000000001,0.67,451.9540625,354.4,566.77,432.592710280374,550.604761904762,0
"TW-1-146-1","TW","1","1-146","1",8,1927,1.96,1.79,0.17,1.2,477.857295918367,378.04,697.13,459.704972067039,668.990588235294,0
"TW-1-146-1","TW","1","1-146","1",9,1928,1.78,1.67,0.110000000000001,0.96,457.416123595506,361.79,673.19,444.603832335329,651.93,0
"TW-1-146-1","TW","1","1-146","1",10,1929,2.46,2.32,0.140000000000003,0.58,470.100609756098,383.98,709.23,457.671982758621,676.060714285714,0
"TW-1-146-1","TW","1","1-146","1",11,1930,2.5,2.2,0.300000000000003,1.12,472.05336,366.31,707.56,444.739181818182,672.357333333333,0
"TW-1-146-1","TW","1","1-146","1",12,1931,3.28,2.92,0.359999999999998,0.46,493.713353658537,375.03,708.89,471.563630136986,673.372222222222,0
"TW-1-146-1","TW","1","1-146","1",13,1932,3.09,2.73,0.359999999999998,0.28,486.354110032362,390.5,729.07,459.312197802198,691.421944444444,0
