"standtree","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD"
"TW-1-146-1","TW","1","1-146","1",1,1920,3.40000000000001,2.35,1.04999999999999,0.97,464.504147058824,392.34,559.43,438.357574468085,523.022666666667
"TW-1-146-1","TW","1","1-146","1",2,1921,1.82,1.27000000000002,0.549999999999992,0.57,493.936483516484,421.96,563.2,477.194645669291,532.594909090909
"TW-1-146-1","TW","1","1-146","1",3,1922,1.82,1.51,0.309999999999983,0.56,523.378131868132,426.08,682.81,498.370927152318,645.187419354839
"TW-1-146-1","TW","1","1-146","1",4,1923,1.71999999999998,0.839999999999984,0.879999999999976,0.76,452.595872093023,388.66,615.22,476.891190476191,429.404886363636
"TW-1-146-1","TW","1","1-146","1",5,1924,1.38,1.13,0.250000000000009,0.29,433.273115942029,333.12,585.49,407.810353982301,548.3648
"TW-1-146-1","TW","1","1-146","1",6,1925,1.13,0.910000000000006,0.220000000000008,0.35,457.375752212389,361.97,574.66,435.588461538462,547.495909090909
"TW-1-146-1","TW","1","1-146","1",7,1926,1.32999999999999,1.07999999999999,0.249999999999981,0.68,454.528872180451,354.4,566.77,433.510092592593,545.33
"TW-1-146-1","TW","1","1-146","1",8,1927,1.90999999999998,1.74999999999998,0.159999999999977,1.16,476.204659685864,378.04,697.13,458.3808,671.153125
"TW-1-146-1","TW","1","1-146","1",9,1928,1.77999999999998,1.67,0.109999999999994,0.97,457.341011235955,361.79,673.19,444.709760479042,649.106363636364
"TW-1-146-1","TW","1","1-146","1",10,1929,2.46999999999998,2.32,0.149999999999986,0.59,470.81987854251,383.98,709.23,457.620431034483,674.971333333333
"TW-1-146-1","TW","1","1-146","1",11,1930,2.49999999999998,2.18999999999998,0.309999999999983,1.12,472.05336,366.31,707.56,443.805296803653,671.612258064516
"TW-1-146-1","TW","1","1-146","1",12,1931,3.27999999999998,2.92,0.359999999999994,0.46,493.713353658537,375.03,708.89,471.563630136986,673.372222222222
"TW-1-146-1","TW","1","1-146","1",13,1932,3.08999999999998,2.71999999999998,0.369999999999985,0.28,486.354110032362,390.5,729.07,458.508639705882,691.055945945946
"TW-1-146-1","TW","1","1-146","1",14,1933,3.70999999999999,3.30999999999998,0.400000000000015,2.32,497.590053908356,377.86,800.63,466.158821752266,757.6835
"TW-1-146-1","TW","1","1-146","1",15,1934,3.77000000000002,3.50000000000001,0.270000000000019,2.57,493.017692307692,373.94,797.22,473.143,750.652592592593
"TW-1-146-1","TW","1","1-146","1",16,1935,3.20999999999999,2.79,0.419999999999997,1.87,516.797476635514,411.68,731.89,493.25458781362,673.189523809524
"TW-1-146-1","TW","1","1-146","1",17,1936,2.83999999999998,2.64,0.199999999999998,1.63,480.070950704225,384.62,739.14,462.794772727273,708.1165
"TW-1-146-1","TW","1","1-146","1",18,1937,2.48,2.20999999999999,0.270000000000019,0.32,454.417177419355,360.79,661.67,437.116018099547,596.03037037037
"TW-1-146-1","TW","1","1-146","1",19,1938,2.83999999999998,2.57,0.269999999999991,0.67,435.184647887324,310.37,757.39,406.967548638132,703.76962962963
"TW-1-146-1","TW","1","1-146","1",20,1939,2.27999999999998,1.99999999999998,0.279999999999982,0.56,474.550087719298,341.67,724.9,444.45365,689.524642857143
"TW-1-146-1","TW","1","1-146","1",21,1940,2.80999999999998,2.58999999999998,0.21999999999998,0.62,436.13896797153,330.46,783.87,409.609536679537,748.462727272727
"TW-1-146-1","TW","1","1-146","1",22,1941,2.54999999999999,2.29999999999999,0.250000000000009,0.31,456.69768627451,352.96,747.21,429.007217391304,711.45
"TW-1-146-1","TW","1","1-146","1",23,1942,2.57,2.37000000000001,0.199999999999998,0.21,486.466887159533,350.26,730.54,468.453924050633,699.9205
"TW-1-146-1","TW","1","1-146","1",24,1943,1.68999999999999,1.54,0.149999999999986,0.61,428.637278106509,302.16,731.33,402.670909090909,695.225333333333
"TW-1-146-1","TW","1","1-146","1",25,1944,2.92,2.79,0.12999999999999,0.47,404.068116438356,299.2,668.5,393.134731182796,638.715384615385
"TW-1-146-1","TW","1","1-146","1",26,1945,1.95,1.81,0.139999999999995,0.27,441.157435897436,339.08,742.43,421.035856353591,701.300714285714
"TW-1-146-1","TW","1","1-146","1",27,1946,2.81,2.60000000000001,0.210000000000003,0.89,451.820106761566,329.31,713.36,434.411384615385,667.356666666667
"TW-1-146-1","TW","1","1-146","1",28,1947,1.87,1.71999999999999,0.150000000000001,0.48,452.441711229947,321.18,680.95,435.180348837209,650.372
"TW-1-146-1","TW","1","1-146","1",29,1948,2.37,2.21,0.159999999999991,1.44,434.533375527426,325.59,673.84,420.338054298643,630.60625
"TW-1-146-1","TW","1","1-146","1",30,1949,2.1,1.89,0.210000000000003,0.31,445.603428571429,325.86,661.99,425.773439153439,624.073333333333
"TW-1-146-1","TW","1","1-146","1",31,1950,1.74,1.41000000000001,0.329999999999993,0.41,495.418390804598,374.94,680.95,461.802127659574,639.051515151515
"TW-1-146-1","TW","1","1-146","1",32,1951,0.859999999999994,0.799999999999992,0.0599999999999972,0.59,461.693488372093,376.03,626.74,452.174,588.62
"TW-1-146-1","TW","1","1-146","1",33,1952,2.92,2.78,0.139999999999995,0.5,371.603219178082,258.8,710.57,356.975251798561,662.072857142857
"TW-1-146-1","TW","1","1-146","1",34,1953,1.71999999999999,1.54999999999999,0.169999999999997,0.39,434.599709302326,354.31,652.81,414.351548387097,619.215294117647
"TW-1-146-1","TW","1","1-146","1",35,1954,1.37999999999999,1.17,0.209999999999989,0.32,425.721304347826,327.8,589.01,412.428376068376,499.781904761905
"TW-1-146-1","TW","1","1-146","1",36,1955,2.07,1.84,0.229999999999999,0.53,395.57347826087,300.85,583.83,374.674510869565,562.765217391304
"TW-1-146-1","TW","1","1-146","1",37,1956,1.93999999999999,1.70999999999999,0.229999999999999,0.22,450.259742268041,325.68,721.31,419.042923976608,682.35
"TW-1-146-1","TW","1","1-146","1",38,1957,2.48999999999999,2.31,0.179999999999988,0.55,447.142690763052,349.72,715.26,428.546796536797,685.79
"TW-1-146-1","TW","1","1-146","1",39,1958,1.95,1.64,0.309999999999997,0.37,428.162717948718,309.49,639.51,403.59493902439,558.134193548387
"TW-1-146-1","TW","1","1-146","1",40,1959,0.770000000000005,0.659999999999991,0.110000000000009,0.51,456.239480519481,385.08,560.55,443.539696969697,532.438181818182
"TW-1-146-1","TW","1","1-146","1",41,1960,1.47000000000001,1.29,0.180000000000002,0.35,383.937551020408,282.75,577.75,361.696356589147,543.332777777778
"TW-1-146-1","TW","1","1-146","1",42,1961,1.80000000000001,1.4,0.400000000000001,0.24,460.418333333333,306.96,726.25,397.969142857143,678.9905
"TW-1-146-1","TW","1","1-146","1",43,1962,1.54,1.44000000000001,0.0999999999999892,0.27,425.887077922078,332.24,645.93,413.005763888889,611.378
"TW-1-146-1","TW","1","1-146","1",44,1963,1.26,1.10999999999999,0.150000000000001,0.22,422.223968253968,306.43,716.71,387.793513513514,677.009333333333
"TW-1-146-1","TW","1","1-146","1",45,1964,0.650000000000001,0.409999999999991,0.240000000000004,0.16,492.440769230769,397.5,593.36,464.775609756098,539.702083333333
"TW-1-146-1","TW","1","1-146","1",46,1965,1.43,1.24,0.189999999999993,0.38,432.463846153846,322.15,654.54,403.272419354839,622.976315789474
"TW-1-146-1","TW","1","1-146","1",47,1966,0.839999999999998,0.689999999999993,0.150000000000001,0.19,501.521071428571,340.24,751.09,456.255797101449,709.741333333333
"TW-1-146-1","TW","1","1-146","1",48,1967,1.70999999999999,1.53999999999999,0.169999999999997,0.43,433.948070175439,308.71,679.52,412.346688311688,629.631176470588
"TW-1-146-1","TW","1","1-146","1",49,1968,3.35999999999999,2.84,0.519999999999991,0.54,404.504523809524,291.99,607.98,373.418309859155,574.283076923077
"TW-1-146-1","TW","1","1-146","1",50,1969,2.92,2.51,0.409999999999991,0.16,447.344383561644,310.11,783.64,399.96577689243,737.393902439024
"TW-1-146-1","TW","1","1-146","1",51,1970,3.2,2.85999999999999,0.339999999999998,0.67,442.741,315.9,758.77,410.690489510489,712.342352941177
"TW-1-146-1","TW","1","1-146","1",52,1971,2.7,2.48999999999999,0.210000000000003,0.75,454.660888888889,334.81,768.44,433.240240963855,708.648571428571
"TW-1-146-1","TW","1","1-146","1",53,1972,2.4,2.15,0.249999999999995,0.53,438.046666666667,336.86,723.1,411.30576744186,668.0184
"TW-1-146-1","TW","1","1-146","1",54,1973,1.79,1.45,0.339999999999998,0.53,483.606312849162,361.52,641.22,453.304689655172,612.833823529412
"TW-1-146-1","TW","1","1-146","1",55,1974,2.04999999999999,1.82999999999999,0.219999999999994,1.18,469.581365853659,361.16,660.15,451.191639344262,622.550454545454
