"Date";"UnitID";"TreeID";"X0.5";"X4.5";"X8";"X12";"X16";"X20";"X24";"X28";"X32";"X36";"X40";"X44";"X48";"X52";"X56";"X60";"X64";"X68";"CBH";"HM200_full";"HM200_16";"Notes"
2017-07-18;1;44;NA;12,5;12,5;11,9;11,8;11,2;10,6;9,5;9;8,2;6,6;4,9;NA;NA;NA;NA;NA;NA;NA;8038;8563;NA
2017-07-18;1;146;18,2;15,2;15,1;14,2;13,6;12,2;10,8;10,1;8,6;4,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;11253;8563;NA
2017-07-18;1;188;16,5;13,5;13,2;12,6;12,3;11,8;11;10,5;10,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15026;8136;NA
2017-07-18;2;119;15,4;12,5;12,3;11,8;11,5;10,7;10;9,6;8,9;8;7,6;6,4;5,3;4,3;NA;NA;NA;NA;NA;7677;8694;NA
2017-07-13;2;211;NA;12,7;12,5;12;11,6;11,2;10,6;9,8;9,1;8;7,1;6;4,4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;2;316;16,7;14,3;12,8;12,6;12,1;11,7;10,8;10,4;9,8;8,2;6,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-07-13;3;152;NA;18,6;17,9;17,1;17,1;16,8;15,7;15,2;14,2;12;11,1;8,4;7,5;5,3;NA;NA;NA;NA;NA;7776;8891;NA
2017-05-24;3;192;17,9;15,3;14,6;14,2;13,8;13;12,2;11,4;10,6;9;8,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;3;216;NA;16,8;16,2;15,4;14,8;14,8;14;13,3;12,4;12,1;11,3;8,7;9,4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;4;327;12;9;8,6;8,1;7,8;7;6,2;5,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;4;434;10,5;9,3;8,2;8,3;8,4;7,5;7;6,2;6;5,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;4;472;11,2;9,5;10,2;8,7;8,1;7,6;6,5;5,8;3,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;5;235;11,1;8,8;8,4;8;7,4;6,9;6,4;5,9;6;5,5;4,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-07-18;5;366;13,9;10,5;10,4;9,6;9,3;8,9;8,4;8;7,2;6;5,2;4;NA;NA;NA;NA;NA;NA;NA;7874;8530;NA
2017-07-18;5;403;14,5;11;11,2;10,8;10,4;8,4;7,3;4,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13615;15026;NA
