"variable","drop","month","coef","significant","ci_lower","ci_upper","Sample.HT","quarter","group","Response"
"TAVG",".mean","oct...dec",-0.0790143069628307,FALSE,-0.255056708690284,0.0665447577243295,1.4,"ond","Low","RD"
"TAVG",".mean","JAN...MAR",0.0555438744540577,FALSE,-0.125264271908733,0.248467457088966,1.4,"JFM","Low","RD"
"TAVG",".mean","APR...JUN",0.193331611033545,TRUE,0.0282865407299286,0.359216272602979,1.4,"AMJ","Low","RD"
"TAVG",".mean","JUL...SEP",-0.149252111205366,FALSE,-0.365464541619554,0.0616459913486412,1.4,"JAS","Low","RD"
"TAVG",".mean","oct...SEP",0.0393003941121489,FALSE,-0.0318436558001444,0.10604424423185,1.4,"Annual","Low","RD"
"TAVG",".mean","oct...dec",-0.0470718363447596,FALSE,-0.200404430662179,0.0923894198304342,1.4,"ond","Mid","RD"
"TAVG",".mean","JAN...MAR",0.063941091062631,FALSE,-0.103615295753578,0.200416808397709,1.4,"JFM","Mid","RD"
"TAVG",".mean","APR...JUN",0.215526710933222,TRUE,0.0401257678802028,0.389499838588135,1.4,"AMJ","Mid","RD"
"TAVG",".mean","JUL...SEP",-0.13831741668199,FALSE,-0.326172514335562,0.0534673733589209,1.4,"JAS","Mid","RD"
"TAVG",".mean","oct...SEP",0.0631776468284339,FALSE,-0.000521957259511978,0.117817844475317,1.4,"Annual","Mid","RD"
"TAVG",".mean","oct...dec",-0.0525538552586089,FALSE,-0.216576801928789,0.0882666449317513,1.4,"ond","High","RD"
"TAVG",".mean","JAN...MAR",0.055048800193038,FALSE,-0.10486631363819,0.209911916644415,1.4,"JFM","High","RD"
"TAVG",".mean","APR...JUN",0.209428208999563,TRUE,0.0495005961640946,0.378257659693685,1.4,"AMJ","High","RD"
"TAVG",".mean","JUL...SEP",-0.150007099681011,FALSE,-0.347052379397432,0.0522040998572125,1.4,"JAS","High","RD"
"TAVG",".mean","oct...SEP",0.0535884817738878,FALSE,-0.0195875690145396,0.121946220629004,1.4,"Annual","High","RD"
"TAVG",".mean","oct...dec",0.0329390890937885,FALSE,-0.181945861714227,0.206735228112602,1.4,"ond","Low","LWP"
"TAVG",".mean","JAN...MAR",-0.00608588780193921,FALSE,-0.226573415887558,0.207260564639111,1.4,"JFM","Low","LWP"
"TAVG",".mean","APR...JUN",0.0230086494642995,FALSE,-0.17702185324117,0.202940457516323,1.4,"AMJ","Low","LWP"
"TAVG",".mean","JUL...SEP",-0.04434687477996,FALSE,-0.261013182445519,0.212371035872981,1.4,"JAS","Low","LWP"
"TAVG",".mean","oct...SEP",0.00853274305663264,FALSE,-0.0708035205644489,0.0798763742244195,1.4,"Annual","Low","LWP"
"TAVG",".mean","oct...dec",-0.0391387003022627,FALSE,-0.249782233019454,0.139164311420056,1.4,"ond","Mid","LWP"
"TAVG",".mean","JAN...MAR",0.0974965464004138,FALSE,-0.0932856688518726,0.307652859249588,1.4,"JFM","Mid","LWP"
"TAVG",".mean","APR...JUN",0.12030959791285,FALSE,-0.0371771919271377,0.320449433061413,1.4,"AMJ","Mid","LWP"
"TAVG",".mean","JUL...SEP",-0.103765924307733,FALSE,-0.314840818807483,0.106412331698529,1.4,"JAS","Mid","LWP"
"TAVG",".mean","oct...SEP",0.0536807686282987,FALSE,-0.0153142875547361,0.11277005845099,1.4,"Annual","Mid","LWP"
"TAVG",".mean","oct...dec",-0.0111293249014887,FALSE,-0.213967536115887,0.15040605984879,1.4,"ond","High","LWP"
"TAVG",".mean","JAN...MAR",0.0469550826189834,FALSE,-0.153184835880747,0.238130479170546,1.4,"JFM","High","LWP"
"TAVG",".mean","APR...JUN",0.162627172257137,FALSE,0.00487619068813657,0.360319539963892,1.4,"AMJ","High","LWP"
"TAVG",".mean","JUL...SEP",-0.16872893260539,FALSE,-0.350131086999962,0.0272460339797954,1.4,"JAS","High","LWP"
"TAVG",".mean","oct...SEP",0.0432377214946727,FALSE,-0.036754481451009,0.113215130836384,1.4,"Annual","High","LWP"
"TAVG",".mean","oct...dec",-0.0843411198511853,FALSE,-0.259568370042795,0.056082190566503,1.4,"ond","Low","EWD"
"TAVG",".mean","JAN...MAR",0.043202479819268,FALSE,-0.127418157481729,0.235216138223861,1.4,"JFM","Low","EWD"
"TAVG",".mean","APR...JUN",0.221045832962,TRUE,0.0554136772850299,0.381607150131706,1.4,"AMJ","Low","EWD"
"TAVG",".mean","JUL...SEP",-0.14301511937486,FALSE,-0.376951104783442,0.0595310472561116,1.4,"JAS","Low","EWD"
"TAVG",".mean","oct...SEP",0.0405043017148127,FALSE,-0.0210046880539313,0.0997119073422264,1.4,"Annual","Low","EWD"
"TAVG",".mean","oct...dec",-0.0459911533285631,FALSE,-0.216972524494509,0.100870745026026,1.4,"ond","Mid","EWD"
"TAVG",".mean","JAN...MAR",0.0681502309590877,FALSE,-0.0921654018965694,0.215002563189097,1.4,"JFM","Mid","EWD"
"TAVG",".mean","APR...JUN",0.187600748720211,TRUE,0.0323288304218089,0.370585248763561,1.4,"AMJ","Mid","EWD"
"TAVG",".mean","JUL...SEP",-0.116778586439049,FALSE,-0.319341146769412,0.0792108877127813,1.4,"JAS","Mid","EWD"
"TAVG",".mean","oct...SEP",0.0634536933944258,TRUE,0.00171236408353712,0.117874133800849,1.4,"Annual","Mid","EWD"
"TAVG",".mean","oct...dec",-0.0196500460273407,FALSE,-0.170641182283062,0.119890680131228,1.4,"ond","High","EWD"
"TAVG",".mean","JAN...MAR",0.0259351963752449,FALSE,-0.130658439528181,0.172190967619301,1.4,"JFM","High","EWD"
