"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-06",,,,,"0.13","0.15",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-07",,,,,"0.72","1.72",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-08",,,,,"0.81","2.45",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-09",,,,,"0.64","1.67",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-10",,"0",,"0.0","1.13","1.57","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-11",,"0",,"0.0","0.19","0.19","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1943-12",,,,,"0.89","2.38",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-01","28",,"17",,,,
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-02","25","7","20","4.1","1.02","2.98","17.7"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-03","31","2","17","13.0","1.31","2.00","15.7"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-04","3","5","4","4.5","0.59","1.84","11.1"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-05",,"2",,"1.9","0.63","0.99","3.3"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-06",,"0",,"0.0","0.10","0.10","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-07",,,,,"0.92","1.74",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-10",,,,,"0.23","0.35",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-11",,"2",,"6.1","0.63","1.96","9.7"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1944-12",,"4",,"3.4","0.40","1.83","13.5"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1945-01","18","5","9","5.6","0.55","1.94","18.2"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1945-02","8","1","4","1.5","0.16","0.52","2.7"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1945-06",,,,,"0.13","0.15",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1945-07",,,,,"1.02","4.15",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1945-09",,"0",,"0.0","0.15","0.18","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1946-02",,"5",,"4.0","0.29","0.77","9.1"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1946-03",,"5",,"3.7","0.38","1.46","14.6"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1946-06",,,,,"0.00","0.00",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1947-12","18","6","8","4.5","0.43","2.02","20.6"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1948-01","9","2","8","13.1","0.67","0.82","15.1"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1948-02","18","9","6","6.0","0.45","2.33","29.3"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1948-03","17","8","8","8.9","0.55","2.11","29.7"
