StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
2,2,191701,1.94,25.9,3.96,3.96,2.1,3.83,0,1212,1.01,0.54,-0.06,0.82,0.79,0.65,1.52,16.2,35.5
2,2,191702,0.9,33.2,3.71,3.71,0.47,3.7,0,890,-0.02,0.65,0.35,0.59,0.75,0.72,1.32,22.5,44
2,2,191703,0.14,36,2.98,2.98,-1.05,2.5,0,899,-1.54,-0.98,-0.01,0.29,0.5,0.28,1.22,21.3,50.8
2,2,191704,2.09,45.6,3.98,3.98,3.93,3.98,0,582,1.83,0.56,0.34,0.13,0.73,0.72,1.19,31.6,59.6
2,2,191705,1.03,51.7,4.56,4.56,2.96,4.56,0,412,1.28,2,0.92,0.69,0.82,0.92,1.23,39.1,64.4
2,2,191706,0.01,67,4.88,4.88,2.37,4.88,104,44,-1.34,0.49,1.65,0.74,0.78,0.92,1.08,49.3,84.8
2,2,191707,2.23,75,5.09,5.09,2.14,5.09,310,0,0.62,0.16,0.73,0.63,0.32,0.88,0.89,60.9,89.1
2,2,191708,1.41,70.6,-0.4,4.16,-1.21,3.65,176,0,-0.77,-0.13,-0.42,0.27,0.4,0.58,1.01,56.1,85.2
2,2,191709,1.28,64.1,-0.33,3.76,0.09,3.23,42,69,0.13,-0.52,-0.07,0.89,0.54,0.64,1.15,50,78.2
2,2,191710,0.09,53.7,-1.07,2.61,-2.3,1.19,0,350,-1.33,-0.82,-1.19,-0.48,-0.26,-0.26,1.11,36,71.4
2,2,191711,0.01,43.2,-1.8,1.5,-2.53,-0.8,0,654,-1.49,-1.94,-1.31,-1.3,-0.59,-0.26,0.96,26.5,59.9
2,2,191712,0,37.6,-2.65,-2.65,-3.1,-2.65,0,849,-1.65,-2.16,-2.25,-1.5,-0.6,-0.56,0.4,21.1,54.2
2,2,191801,1.34,28.6,-2.36,-2.36,0.05,-2.28,0,1128,0.49,-0.52,-1.2,-1.67,-1.13,-0.82,-0.14,15.5,41.8
2,2,191802,0.99,36.4,-2.33,-2.33,-0.64,-2.33,0,801,0.11,0.29,-0.43,-1.27,-1.3,-0.74,-0.03,23.9,48.9
2,2,191803,1.7,43.7,-1.94,-1.94,0.44,-1.69,0,660,0.88,0.6,0.6,-0.86,-0.78,-0.14,-0.03,31.4,56
2,2,191804,0.25,48.5,-2.07,-2.07,-0.98,-2.07,0,495,-0.82,0.31,0.21,-0.62,-1.15,-0.78,-0.13,34.2,62.8
