[SAMPLE PARAMETERS]
Time/Date of Scan,          28-Feb-2018   16:16:19
Study ID,                   WQA
Sample ID,                  TW-1-44-2
File Name,                  TW-1-44-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              102
Measured Ring Count,             87
Step Size,                        1
Sample Length,               145.00
Measured Length,             138.27
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              424.10
Actual Density,              424.21
Early Wood Maximum Density,  424.93
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  231.22
Pos of EW Min Density,        73.10
Late Wood Maximum Density,   913.42
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.09
Pos of LW Min Density,       110.60
Avg % Late Wood in Sample,    33.61
Zero voltage,                  0.0357
Free air voltage,              7.4588
Mass Absorption Coefficient,   2.919132
Number of scanned data points,  14500
Number of used data points,     13593
[SAMPLE DATA]
    0,   3.350, 261.75, 88,E, 6.2711
    1,   3.360, 231.22, 88,E, 6.3992
    2,   3.370, 266.31, 88,E, 6.2521
    3,   3.380, 278.44, 88,E, 6.2021
    4,   3.390, 256.84, 88,E, 6.2915
    5,   3.400, 256.70, 88,E, 6.2921
    6,   3.410, 256.77, 88,E, 6.2918
    7,   3.420, 287.16, 88,E, 6.1664
    8,   3.430, 284.10, 88,E, 6.1789
    9,   3.440, 277.78, 88,E, 6.2048
   10,   3.450, 263.22, 88,E, 6.2650
   11,   3.460, 279.34, 88,E, 6.1984
   12,   3.470, 288.58, 88,E, 6.1606
   13,   3.480, 291.79, 88,E, 6.1475
   14,   3.490, 273.40, 88,E, 6.2228
   15,   3.500, 276.14, 88,E, 6.2115
   16,   3.510, 278.82, 88,E, 6.2006
   17,   3.520, 292.09, 88,E, 6.1462
   18,   3.530, 290.22, 88,E, 6.1539
   19,   3.540, 284.17, 88,E, 6.1786
   20,   3.550, 297.35, 88,E, 6.1249
   21,   3.560, 299.30, 88,E, 6.1169
   22,   3.570, 296.90, 88,E, 6.1267
   23,   3.580, 292.02, 88,E, 6.1465
   24,   3.590, 304.36, 88,E, 6.0965
   25,   3.600, 310.03, 88,E, 6.0736
   26,   3.610, 291.87, 88,E, 6.1472
   27,   3.620, 269.63, 88,E, 6.2384
   28,   3.630, 281.12, 88,E, 6.1911
   29,   3.640, 303.22, 88,E, 6.1011
   30,   3.650, 308.82, 88,E, 6.0785
   31,   3.660, 304.43, 88,E, 6.0962
   32,   3.670, 287.83, 88,E, 6.1636
   33,   3.680, 286.11, 88,E, 6.1707
   34,   3.690, 282.24, 88,E, 6.1865
   35,   3.700, 319.92, 88,E, 6.0339
   36,   3.710, 294.04, 88,E, 6.1383
   37,   3.720, 283.43, 88,E, 6.1816
   38,   3.730, 279.34, 88,E, 6.1984
