[SAMPLE PARAMETERS]
Time/Date of Scan,          09-Apr-2018   11:09:44
Study ID,                   TW
Sample ID,                  TW-10-187-3
File Name,                  TW-10-187-3
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             68
Step Size,                        1
Sample Length,                95.00
Measured Length,              81.98
Sample Thickness,              2.24
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              504.70
Actual Density,              505.06
Early Wood Maximum Density,  449.98
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  299.17
Pos of EW Min Density,        13.86
Late Wood Maximum Density,   988.34
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.08
Pos of LW Min Density,        14.97
Avg % Late Wood in Sample,    53.44
Zero voltage,                  0.0357
Free air voltage,              6.7682
Mass Absorption Coefficient,   2.658342
Number of scanned data points,   9138
Number of used data points,      7937
[SAMPLE DATA]
    0,   2.520, 953.92, 69,L, 3.8351
    1,   2.530, 907.65, 69,L, 3.9423
    2,   2.540, 885.57, 69,L, 3.9944
    3,   2.550, 884.67, 69,L, 3.9966
    4,   2.560, 888.14, 69,L, 3.9883
    5,   2.570, 900.52, 69,L, 3.9590
    6,   2.580, 898.84, 69,L, 3.9630
    7,   2.590, 882.88, 69,L, 4.0009
    8,   2.600, 879.29, 68,L, 4.0094
    9,   2.610, 875.97, 68,L, 4.0173
   10,   2.620, 879.04, 68,L, 4.0100
   11,   2.630, 912.21, 68,L, 3.9316
   12,   2.640, 935.71, 68,L, 3.8770
   13,   2.650, 917.56, 68,L, 3.9191
   14,   2.660, 890.58, 68,L, 3.9825
   15,   2.670, 872.41, 68,L, 4.0259
   16,   2.680, 842.00, 68,L, 4.0994
   17,   2.690, 798.44, 68,L, 4.2072
   18,   2.700, 767.66, 68,L, 4.2850
   19,   2.710, 752.42, 68,L, 4.3240
   20,   2.720, 719.21, 68,L, 4.4104
   21,   2.730, 657.05, 68,L, 4.5767
   22,   2.740, 635.90, 68,L, 4.6347
   23,   2.750, 592.25, 68,L, 4.7568
   24,   2.760, 597.43, 68,L, 4.7421
   25,   2.770, 581.83, 68,L, 4.7864
   26,   2.780, 527.78, 68,L, 4.9429
   27,   2.790, 501.65, 67,L, 5.0204
   28,   2.800, 494.52, 67,L, 5.0418
   29,   2.810, 520.33, 67,L, 4.9649
   30,   2.820, 552.32, 67,L, 4.8712
   31,   2.830, 573.18, 67,L, 4.8111
   32,   2.840, 616.88, 67,L, 4.6875
   33,   2.850, 581.72, 67,L, 4.7867
   34,   2.860, 607.40, 67,L, 4.7141
   35,   2.870, 633.36, 67,L, 4.6417
   36,   2.880, 620.93, 67,L, 4.6762
   37,   2.890, 617.10, 67,L, 4.6869
   38,   2.900, 655.03, 67,L, 4.5822
   39,   2.910, 670.65, 67,L, 4.5398
   40,   2.920, 738.38, 67,L, 4.3604
   41,   2.930, 743.56, 67,L, 4.3469
   42,   2.940, 780.63, 67,L, 4.2520
   43,   2.950, 788.85, 67,L, 4.2313
   44,   2.960, 775.34, 67,L, 4.2654
   45,   2.970, 731.11, 67,L, 4.3793
   46,   2.980, 696.36, 67,L, 4.4708
   47,   2.990, 662.21, 67,L, 4.5627
   48,   3.000, 622.80, 67,L, 4.6710
   49,   3.010, 574.03, 67,L, 4.8087
   50,   3.020, 533.80, 67,L, 4.9252
   51,   3.030, 515.18, 67,L, 4.9802
   52,   3.040, 517.96, 67,L, 4.9719
   53,   3.050, 499.50, 67,L, 5.0269
   54,   3.060, 480.14, 67,L, 5.0851
   55,   3.070, 469.29, 67,L, 5.1181
   56,   3.080, 421.51, 67,E, 5.2658
   57,   3.090, 437.85, 67,E, 5.2148
   58,   3.100, 429.12, 67,E, 5.2420
   59,   3.110, 427.27, 67,E, 5.2478
   60,   3.120, 397.26, 67,E, 5.3424
   61,   3.130, 407.08, 67,E, 5.3113
   62,   3.140, 417.92, 67,E, 5.2771
   63,   3.150, 386.55, 67,E, 5.3766
   64,   3.160, 381.22, 67,E, 5.3937
   65,   3.170, 398.89, 67,E, 5.3372
   66,   3.180, 386.27, 67,E, 5.3775
   67,   3.190, 375.06, 67,E, 5.4135
   68,   3.200, 355.48, 67,E, 5.4770
   69,   3.210, 373.92, 67,E, 5.4172
   70,   3.220, 388.36, 67,E, 5.3708
   71,   3.230, 380.56, 67,E, 5.3958
   72,   3.240, 420.83, 67,E, 5.2679
   73,   3.250, 484.48, 67,L, 5.0720
   74,   3.260, 558.86, 66,L, 4.8523
   75,   3.270, 683.80, 66,L, 4.5044
   76,   3.280, 699.92, 66,L, 4.4614
   77,   3.290, 698.42, 66,L, 4.4653
   78,   3.300, 690.87, 66,L, 4.4855
   79,   3.310, 677.55, 66,L, 4.5212
   80,   3.320, 678.80, 66,L, 4.5178
   81,   3.330, 672.12, 65,L, 4.5358
   82,   3.340, 691.78, 65,L, 4.4830
   83,   3.350, 706.02, 65,L, 4.4452
   84,   3.360, 690.52, 65,L, 4.4864
   85,   3.370, 717.59, 65,L, 4.4147
   86,   3.380, 730.76, 65,L, 4.3802
   87,   3.390, 743.68, 65,L, 4.3466
   88,   3.400, 777.98, 65,L, 4.2587
   89,   3.410, 768.50, 65,L, 4.2828
   90,   3.420, 735.44, 65,L, 4.3680
   91,   3.430, 696.70, 65,L, 4.4699
   92,   3.440, 672.68, 65,L, 4.5343
   93,   3.450, 667.49, 65,L, 4.5483
   94,   3.460, 640.00, 65,L, 4.6234
   95,   3.470, 613.71, 65,L, 4.6964
   96,   3.480, 614.26, 65,L, 4.6948
   97,   3.490, 585.79, 65,L, 4.7751
   98,   3.500, 535.05, 65,L, 4.9216
   99,   3.510, 513.12, 65,L, 4.9863
  100,   3.520, 468.59, 65,L, 5.1202
  101,   3.530, 463.80, 64,L, 5.1349
  102,   3.540, 456.62, 64,L, 5.1569
  103,   3.550, 500.42, 64,L, 5.0241
  104,   3.560, 488.33, 64,L, 5.0604
  105,   3.570, 541.21, 64,L, 4.9036
  106,   3.580, 604.46, 64,L, 4.7223
  107,   3.590, 666.82, 64,L, 4.5502
  108,   3.600, 700.15, 64,L, 4.4608
  109,   3.610, 710.75, 64,L, 4.4327
  110,   3.620, 747.57, 64,L, 4.3365
  111,   3.630, 793.58, 64,L, 4.2194
  112,   3.640, 793.33, 64,L, 4.2200
  113,   3.650, 772.09, 64,L, 4.2737
  114,   3.660, 710.63, 64,L, 4.4330
  115,   3.670, 741.32, 64,L, 4.3527
  116,   3.680, 670.31, 64,L, 4.5407
  117,   3.690, 620.28, 64,L, 4.6780
  118,   3.700, 603.49, 64,L, 4.7250
  119,   3.710, 571.26, 64,L, 4.8166
  120,   3.720, 553.16, 64,L, 4.8688
  121,   3.730, 510.76, 64,L, 4.9933
  122,   3.740, 500.22, 64,L, 5.0247
  123,   3.750, 480.04, 64,L, 5.0854
  124,   3.760, 463.99, 64,L, 5.1343
  125,   3.770, 440.11, 64,E, 5.2078
  126,   3.780, 445.63, 64,E, 5.1907
  127,   3.790, 399.37, 64,E, 5.3357
  128,   3.800, 390.75, 64,E, 5.3632
  129,   3.810, 369.58, 64,E, 5.4312
  130,   3.820, 377.90, 64,E, 5.4044
  131,   3.830, 429.32, 64,E, 5.2414
  132,   3.840, 535.26, 63,L, 4.9210
  133,   3.850, 641.33, 63,L, 4.6198
  134,   3.860, 722.70, 63,L, 4.4012
  135,   3.870, 719.79, 63,L, 4.4089
  136,   3.880, 682.21, 63,L, 4.5087
  137,   3.890, 691.21, 63,L, 4.4846
  138,   3.900, 696.59, 63,L, 4.4702
  139,   3.910, 736.97, 63,L, 4.3640
  140,   3.920, 763.48, 63,L, 4.2957
  141,   3.930, 862.13, 63,L, 4.0506
  142,   3.940, 864.41, 63,L, 4.0451
  143,   3.950, 881.34, 63,L, 4.0045
  144,   3.960, 826.45, 63,L, 4.1376
  145,   3.970, 779.79, 63,L, 4.2542
  146,   3.980, 713.99, 63,L, 4.4241
  147,   3.990, 676.98, 63,L, 4.5227
  148,   4.000, 647.33, 63,L, 4.6033
  149,   4.010, 647.00, 63,L, 4.6042
  150,   4.020, 635.24, 63,L, 4.6365
  151,   4.030, 597.32, 63,L, 4.7424
  152,   4.040, 567.65, 63,L, 4.8270
  153,   4.050, 542.04, 63,L, 4.9011
  154,   4.060, 534.63, 63,L, 4.9228
  155,   4.070, 496.86, 63,L, 5.0348
  156,   4.080, 473.81, 63,L, 5.1044
  157,   4.090, 482.77, 63,L, 5.0772
  158,   4.100, 450.57, 63,L, 5.1755
  159,   4.110, 432.35, 63,E, 5.2319
  160,   4.120, 444.74, 63,E, 5.1935
  161,   4.130, 421.90, 63,E, 5.2646
  162,   4.140, 421.32, 63,E, 5.2664
  163,   4.150, 449.29, 63,E, 5.1794
  164,   4.160, 462.90, 62,L, 5.1376
  165,   4.170, 480.55, 62,L, 5.0839
  166,   4.180, 513.74, 62,L, 4.9844
  167,   4.190, 573.71, 62,L, 4.8096
  168,   4.200, 594.08, 62,L, 4.7516
  169,   4.210, 575.31, 62,L, 4.8050
  170,   4.220, 597.10, 62,L, 4.7430
  171,   4.230, 589.45, 62,L, 4.7647
  172,   4.240, 589.34, 62,L, 4.7650
  173,   4.250, 682.55, 62,L, 4.5078
  174,   4.260, 753.02, 62,L, 4.3225
  175,   4.270, 839.13, 62,L, 4.1064
  176,   4.280, 899.10, 62,L, 3.9624
  177,   4.290, 888.65, 62,L, 3.9871
  178,   4.300, 875.72, 62,L, 4.0179
  179,   4.310, 843.50, 62,L, 4.0958
  180,   4.320, 819.53, 62,L, 4.1547
  181,   4.330, 774.13, 62,L, 4.2685
  182,   4.340, 769.70, 62,L, 4.2798
  183,   4.350, 747.45, 62,L, 4.3369
  184,   4.360, 721.30, 62,L, 4.4049
  185,   4.370, 710.52, 62,L, 4.4333
  186,   4.380, 723.17, 62,L, 4.4000
  187,   4.390, 689.61, 62,L, 4.4888
  188,   4.400, 717.59, 62,L, 4.4147
  189,   4.410, 713.64, 62,L, 4.4250
  190,   4.420, 705.21, 62,L, 4.4473
  191,   4.430, 707.40, 62,L, 4.4415
  192,   4.440, 713.30, 62,L, 4.4260
  193,   4.450, 670.99, 62,L, 4.5389
  194,   4.460, 659.74, 62,L, 4.5694
  195,   4.470, 650.90, 62,L, 4.5935
  196,   4.480, 632.04, 62,L, 4.6454
  197,   4.490, 593.75, 62,L, 4.7525
  198,   4.500, 558.54, 62,L, 4.8532
  199,   4.510, 536.72, 62,L, 4.9167
  200,   4.520, 513.12, 62,L, 4.9863
  201,   4.530, 488.73, 62,L, 5.0592
  202,   4.540, 479.54, 62,L, 5.0870
  203,   4.550, 454.84, 62,L, 5.1624
  204,   4.560, 449.39, 62,E, 5.1791
  205,   4.570, 467.29, 62,L, 5.1242
  206,   4.580, 441.78, 62,E, 5.2026
  207,   4.590, 421.22, 62,E, 5.2667
  208,   4.600, 415.98, 62,E, 5.2832
  209,   4.610, 434.12, 62,E, 5.2264
  210,   4.620, 458.51, 62,L, 5.1511
  211,   4.630, 451.96, 62,L, 5.1712
  212,   4.640, 412.49, 62,E, 5.2942
  213,   4.650, 419.76, 62,E, 5.2713
  214,   4.660, 417.14, 62,E, 5.2795
  215,   4.670, 410.17, 62,E, 5.3015
  216,   4.680, 400.53, 62,E, 5.3320
  217,   4.690, 384.84, 62,E, 5.3821
  218,   4.700, 424.83, 62,E, 5.2554
  219,   4.710, 360.82, 62,E, 5.4596
  220,   4.720, 391.90, 62,E, 5.3595
  221,   4.730, 380.37, 61,E, 5.3964
  222,   4.740, 369.39, 61,E, 5.4318
  223,   4.750, 359.79, 61,E, 5.4630
  224,   4.760, 449.19, 61,E, 5.1797
  225,   4.770, 580.01, 61,L, 4.7916
  226,   4.780, 695.67, 61,L, 4.4727
  227,   4.790, 767.90, 61,L, 4.2844
  228,   4.800, 874.57, 61,L, 4.0207
  229,   4.810, 882.75, 61,L, 4.0012
  230,   4.820, 892.51, 61,L, 3.9780
  231,   4.830, 852.54, 61,L, 4.0738
  232,   4.840, 810.42, 61,L, 4.1772
  233,   4.850, 779.06, 61,L, 4.2560
  234,   4.860, 763.12, 60,L, 4.2966
  235,   4.870, 808.71, 60,L, 4.1815
  236,   4.880, 799.42, 60,L, 4.2047
  237,   4.890, 811.16, 60,L, 4.1754
  238,   4.900, 793.33, 60,L, 4.2200
  239,   4.910, 771.26, 60,L, 4.2758
  240,   4.920, 729.24, 60,L, 4.3842
  241,   4.930, 656.15, 60,L, 4.5792
  242,   4.940, 602.30, 60,L, 4.7284
  243,   4.950, 569.88, 60,L, 4.8206
  244,   4.960, 561.71, 60,L, 4.8441
  245,   4.970, 532.66, 60,L, 4.9286
  246,   4.980, 520.43, 60,L, 4.9646
  247,   4.990, 493.09, 60,L, 5.0461
  248,   5.000, 484.28, 60,L, 5.0726
  249,   5.010, 467.69, 60,L, 5.1230
  250,   5.020, 460.11, 60,L, 5.1462
  251,   5.030, 473.81, 60,L, 5.1044
  252,   5.040, 444.05, 60,E, 5.1956
  253,   5.050, 436.57, 60,E, 5.2188
  254,   5.060, 431.47, 60,E, 5.2347
  255,   5.070, 437.95, 60,E, 5.2145
  256,   5.080, 441.78, 60,E, 5.2026
  257,   5.090, 417.43, 60,E, 5.2786
  258,   5.100, 404.95, 59,E, 5.3180
  259,   5.110, 379.04, 59,E, 5.4007
  260,   5.120, 382.65, 59,E, 5.3891
  261,   5.130, 467.29, 59,L, 5.1242
  262,   5.140, 548.64, 59,L, 4.8819
  263,   5.150, 625.32, 59,L, 4.6640
  264,   5.160, 671.44, 59,L, 4.5377
  265,   5.170, 643.88, 59,L, 4.6127
  266,   5.180, 585.15, 59,L, 4.7769
  267,   5.190, 521.15, 59,L, 4.9625
  268,   5.200, 456.03, 59,L, 5.1587
  269,   5.210, 423.66, 59,E, 5.2591
  270,   5.220, 437.95, 58,E, 5.2145
  271,   5.230, 486.91, 58,L, 5.0647
  272,   5.240, 510.24, 58,L, 4.9948
  273,   5.250, 545.18, 58,L, 4.8920
  274,   5.260, 552.22, 58,L, 4.8715
  275,   5.270, 587.19, 58,L, 4.7711
  276,   5.280, 618.09, 58,L, 4.6841
  277,   5.290, 613.39, 58,L, 4.6973
  278,   5.300, 656.82, 58,L, 4.5773
  279,   5.310, 655.82, 58,L, 4.5801
  280,   5.320, 679.03, 58,L, 4.5172
  281,   5.330, 775.70, 58,L, 4.2645
  282,   5.340, 822.37, 58,L, 4.1476
  283,   5.350, 811.65, 58,L, 4.1742
  284,   5.360, 755.98, 58,L, 4.3149
  285,   5.370, 666.82, 58,L, 4.5502
  286,   5.380, 594.83, 58,L, 4.7495
  287,   5.390, 512.30, 58,L, 4.9887
  288,   5.400, 460.21, 57,L, 5.1459
  289,   5.410, 464.19, 57,L, 5.1337
  290,   5.420, 531.83, 57,L, 4.9310
  291,   5.430, 588.80, 57,L, 4.7665
  292,   5.440, 676.42, 57,L, 4.5242
  293,   5.450, 743.79, 57,L, 4.3463
  294,   5.460, 803.32, 57,L, 4.1949
  295,   5.470, 773.53, 57,L, 4.2700
  296,   5.480, 681.07, 57,L, 4.5117
  297,   5.490, 605.77, 57,L, 4.7186
  298,   5.500, 514.56, 57,L, 4.9820
  299,   5.510, 475.21, 57,L, 5.1001
  300,   5.520, 472.20, 57,L, 5.1093
  301,   5.530, 460.90, 57,L, 5.1437
  302,   5.540, 440.50, 57,E, 5.2066
  303,   5.550, 409.97, 57,E, 5.3021
  304,   5.560, 424.83, 57,E, 5.2554
  305,   5.570, 409.01, 57,E, 5.3052
  306,   5.580, 376.57, 57,E, 5.4086
  307,   5.590, 418.11, 57,E, 5.2765
  308,   5.600, 391.04, 57,E, 5.3622
  309,   5.610, 362.70, 57,E, 5.4535
  310,   5.620, 386.55, 57,E, 5.3766
  311,   5.630, 392.76, 57,E, 5.3568
  312,   5.640, 352.86, 57,E, 5.4855
  313,   5.650, 330.22, 57,E, 5.5600
  314,   5.660, 381.41, 57,E, 5.3931
  315,   5.670, 499.81, 57,L, 5.0259
  316,   5.680, 653.58, 56,L, 4.5862
  317,   5.690, 792.97, 56,L, 4.2209
  318,   5.700, 894.06, 56,L, 3.9743
  319,   5.710, 971.11, 56,L, 3.7961
  320,   5.720, 988.34, 56,L, 3.7573
  321,   5.730, 899.35, 56,L, 3.9618
  322,   5.740, 838.88, 56,L, 4.1071
  323,   5.750, 730.17, 56,L, 4.3817
  324,   5.760, 657.72, 56,L, 4.5749
  325,   5.770, 552.74, 56,L, 4.8700
  326,   5.780, 525.60, 56,L, 4.9493
  327,   5.790, 503.48, 56,L, 5.0150
  328,   5.800, 477.02, 56,L, 5.0946
  329,   5.810, 451.37, 56,L, 5.1730
  330,   5.820, 438.04, 56,E, 5.2142
  331,   5.830, 432.45, 56,E, 5.2316
  332,   5.840, 401.58, 56,E, 5.3287
  333,   5.850, 411.52, 56,E, 5.2972
  334,   5.860, 439.72, 56,E, 5.2090
  335,   5.870, 477.42, 55,L, 5.0934
  336,   5.880, 558.22, 55,L, 4.8541
  337,   5.890, 660.97, 55,L, 4.5660
  338,   5.900, 720.72, 55,L, 4.4064
  339,   5.910, 828.56, 55,L, 4.1324
  340,   5.920, 822.98, 55,L, 4.1461
  341,   5.930, 805.28, 55,L, 4.1901
  342,   5.940, 807.60, 55,L, 4.1843
  343,   5.950, 783.28, 55,L, 4.2453
  344,   5.960, 768.86, 55,L, 4.2819
  345,   5.970, 757.29, 55,L, 4.3115
  346,   5.980, 689.15, 55,L, 4.4901
  347,   5.990, 598.40, 55,L, 4.7394
  348,   6.000, 524.88, 55,L, 4.9515
  349,   6.010, 493.80, 55,L, 5.0439
  350,   6.020, 463.30, 55,L, 5.1364
  351,   6.030, 411.23, 55,E, 5.2982
  352,   6.040, 416.36, 55,E, 5.2820
  353,   6.050, 455.83, 55,L, 5.1593
  354,   6.060, 431.57, 55,E, 5.2344
  355,   6.070, 406.79, 55,E, 5.3122
