[SAMPLE PARAMETERS]
Time/Date of Scan,          01-May-2018   10:38:30
Study ID,                   TW
Sample ID,                  TW-15-139-45
File Name,                  TW-15-139-45
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             80
Step Size,                        1
Sample Length,               170.00
Measured Length,             161.68
Sample Thickness,              2.26
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              427.10
Actual Density,              427.10
Early Wood Maximum Density,  424.96
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  259.45
Pos of EW Min Density,       108.30
Late Wood Maximum Density,   958.45
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.05
Pos of LW Min Density,        53.18
Avg % Late Wood in Sample,    31.07
Zero voltage,                  0.0616
Free air voltage,              6.8744
Mass Absorption Coefficient,   2.922016
Number of scanned data points,  16535
Number of used data points,     15872
[SAMPLE DATA]
    0,   2.660, 394.74, 80,E, 5.2969
    1,   2.670, 401.73, 80,E, 5.2725
    2,   2.680, 387.86, 80,E, 5.3210
    3,   2.690, 356.66, 80,E, 5.4318
    4,   2.700, 329.17, 80,E, 5.5313
    5,   2.710, 340.49, 80,E, 5.4901
    6,   2.720, 334.28, 80,E, 5.5127
    7,   2.730, 313.71, 80,E, 5.5881
    8,   2.740, 322.92, 80,E, 5.5542
    9,   2.750, 311.98, 80,E, 5.5945
   10,   2.760, 300.46, 80,E, 5.6372
   11,   2.770, 319.43, 80,E, 5.5670
   12,   2.780, 295.55, 80,E, 5.6555
   13,   2.790, 294.89, 80,E, 5.6580
   14,   2.800, 309.58, 80,E, 5.6033
   15,   2.810, 300.87, 80,E, 5.6357
   16,   2.820, 322.92, 80,E, 5.5542
   17,   2.830, 312.72, 80,E, 5.5917
   18,   2.840, 305.05, 80,E, 5.6201
   19,   2.850, 308.10, 80,E, 5.6088
   20,   2.860, 328.09, 80,E, 5.5353
   21,   2.870, 316.20, 80,E, 5.5789
   22,   2.880, 307.52, 80,E, 5.6110
   23,   2.890, 312.06, 80,E, 5.5942
   24,   2.900, 328.17, 80,E, 5.5350
   25,   2.910, 321.42, 80,E, 5.5597
   26,   2.920, 311.98, 80,E, 5.5945
   27,   2.930, 311.23, 80,E, 5.5972
   28,   2.940, 329.93, 80,E, 5.5286
   29,   2.950, 307.85, 80,E, 5.6097
   30,   2.960, 344.12, 80,E, 5.4770
   31,   2.970, 306.21, 80,E, 5.6158
   32,   2.980, 323.09, 80,E, 5.5536
   33,   2.990, 318.93, 80,E, 5.5688
   34,   3.000, 296.53, 80,E, 5.6519
   35,   3.010, 318.43, 80,E, 5.5707
   36,   3.020, 347.41, 80,E, 5.4651
   37,   3.030, 343.61, 80,E, 5.4788
   38,   3.040, 350.21, 80,E, 5.4550
   39,   3.050, 373.94, 80,E, 5.3702
   40,   3.060, 360.32, 80,E, 5.4187
   41,   3.070, 397.01, 80,E, 5.2890
   42,   3.080, 429.15, 80,L, 5.1779
   43,   3.090, 446.65, 79,L, 5.1184
   44,   3.100, 460.35, 79,L, 5.0723
   45,   3.110, 485.98, 79,L, 4.9872
   46,   3.120, 503.69, 79,L, 4.9292
   47,   3.130, 524.46, 79,L, 4.8621
   48,   3.140, 533.99, 79,L, 4.8315
   49,   3.150, 560.53, 79,L, 4.7476
   50,   3.160, 567.26, 79,L, 4.7266
   51,   3.170, 611.00, 79,L, 4.5920
   52,   3.180, 644.89, 79,L, 4.4904
   53,   3.190, 671.99, 79,L, 4.4107
   54,   3.200, 658.95, 79,L, 4.4489
   55,   3.210, 689.49, 79,L, 4.3600
   56,   3.220, 739.70, 79,L, 4.2178
   57,   3.230, 743.21, 79,L, 4.2081
   58,   3.240, 779.44, 79,L, 4.1086
   59,   3.250, 783.38, 79,L, 4.0979
   60,   3.260, 798.12, 79,L, 4.0582
   61,   3.270, 804.62, 79,L, 4.0408
   62,   3.280, 792.09, 79,L, 4.0744
   63,   3.290, 814.14, 79,L, 4.0155
   64,   3.300, 800.62, 79,L, 4.0515
   65,   3.310, 776.52, 79,L, 4.1165
   66,   3.320, 800.40, 79,L, 4.0521
   67,   3.330, 783.16, 79,L, 4.0985
   68,   3.340, 790.73, 79,L, 4.0781
   69,   3.350, 769.91, 79,L, 4.1345
   70,   3.360, 761.66, 79,L, 4.1571
   71,   3.370, 726.50, 79,L, 4.2548
   72,   3.380, 707.51, 79,L, 4.3085
   73,   3.390, 703.65, 79,L, 4.3195
   74,   3.400, 676.82, 79,L, 4.3967
   75,   3.410, 633.41, 79,L, 4.5245
   76,   3.420, 615.44, 79,L, 4.5786
   77,   3.430, 570.98, 79,L, 4.7150
   78,   3.440, 563.65, 79,L, 4.7379
   79,   3.450, 528.46, 79,L, 4.8492
   80,   3.460, 537.73, 79,L, 4.8196
   81,   3.470, 477.39, 79,L, 5.0156
   82,   3.480, 471.87, 79,L, 5.0339
   83,   3.490, 443.50, 79,L, 5.1291
   84,   3.500, 432.37, 79,L, 5.1669
   85,   3.510, 410.79, 79,E, 5.2411
   86,   3.520, 410.61, 79,E, 5.2417
   87,   3.530, 413.52, 79,E, 5.2316
   88,   3.540, 403.22, 79,E, 5.2673
   89,   3.550, 394.74, 79,E, 5.2969
   90,   3.560, 399.98, 79,E, 5.2786
   91,   3.570, 391.51, 79,E, 5.3082
   92,   3.580, 400.33, 79,E, 5.2774
   93,   3.590, 389.25, 79,E, 5.3162
   94,   3.600, 376.53, 79,E, 5.3610
   95,   3.610, 359.98, 79,E, 5.4199
   96,   3.620, 382.66, 79,E, 5.3394
   97,   3.630, 358.27, 79,E, 5.4260
   98,   3.640, 359.38, 79,E, 5.4221
   99,   3.650, 359.81, 79,E, 5.4205
  100,   3.660, 349.95, 79,E, 5.4559
  101,   3.670, 359.38, 79,E, 5.4221
  102,   3.680, 358.87, 79,E, 5.4239
  103,   3.690, 347.75, 79,E, 5.4639
  104,   3.700, 343.36, 79,E, 5.4797
  105,   3.710, 353.77, 79,E, 5.4422
  106,   3.720, 369.99, 79,E, 5.3842
  107,   3.730, 340.49, 79,E, 5.4901
  108,   3.740, 347.16, 79,E, 5.4660
  109,   3.750, 359.04, 79,E, 5.4233
  110,   3.760, 366.39, 79,E, 5.3970
  111,   3.770, 355.21, 79,E, 5.4370
  112,   3.780, 362.20, 79,E, 5.4120
  113,   3.790, 351.82, 79,E, 5.4492
