[SAMPLE PARAMETERS]
Time/Date of Scan,          12-Mar-2018   15:36:19
Study ID,                   WQA
Sample ID,                  TW-18-67-4
File Name,                  TW-18-67-4
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             60
Step Size,                        1
Sample Length,               205.00
Measured Length,             195.38
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              377.30
Actual Density,              377.35
Early Wood Maximum Density,  424.75
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  209.91
Pos of EW Min Density,       171.08
Late Wood Maximum Density,   839.18
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.01
Pos of LW Min Density,       149.75
Avg % Late Wood in Sample,    18.76
Zero voltage,                  0.0449
Free air voltage,              7.1445
Mass Absorption Coefficient,   2.957272
Number of scanned data points,  20500
Number of used data points,     19111
[SAMPLE DATA]
    0,   5.960, 332.07, 60,E, 5.7169
    1,   5.970, 314.60, 60,E, 5.7843
    2,   5.980, 303.79, 60,E, 5.8264
    3,   5.990, 317.67, 60,E, 5.7724
    4,   6.000, 294.92, 60,E, 5.8612
    5,   6.010, 294.92, 60,E, 5.8612
    6,   6.020, 281.41, 60,E, 5.9146
    7,   6.030, 279.03, 60,E, 5.9241
    8,   6.040, 270.31, 60,E, 5.9589
    9,   6.050, 284.34, 60,E, 5.9030
   10,   6.060, 286.42, 60,E, 5.8948
   11,   6.070, 285.72, 60,E, 5.8975
   12,   6.080, 276.96, 60,E, 5.9323
   13,   6.090, 312.87, 60,E, 5.7910
   14,   6.100, 292.29, 60,E, 5.8716
   15,   6.110, 302.08, 60,E, 5.8331
   16,   6.120, 289.66, 60,E, 5.8820
   17,   6.130, 310.68, 60,E, 5.7996
   18,   6.140, 328.81, 60,E, 5.7294
   19,   6.150, 329.61, 60,E, 5.7263
   20,   6.160, 322.64, 60,E, 5.7532
   21,   6.170, 356.36, 60,E, 5.6244
   22,   6.180, 357.49, 60,E, 5.6201
   23,   6.190, 354.02, 60,E, 5.6332
   24,   6.200, 362.76, 60,E, 5.6003
   25,   6.210, 360.65, 60,E, 5.6082
   26,   6.220, 351.52, 60,E, 5.6427
   27,   6.230, 343.49, 60,E, 5.6732
   28,   6.240, 343.81, 60,E, 5.6720
   29,   6.250, 323.19, 60,E, 5.7510
   30,   6.260, 335.02, 60,E, 5.7056
   31,   6.270, 317.43, 60,E, 5.7733
   32,   6.280, 327.07, 60,E, 5.7361
   33,   6.290, 307.23, 60,E, 5.8130
   34,   6.300, 293.53, 60,E, 5.8667
   35,   6.310, 284.26, 60,E, 5.9033
   36,   6.320, 309.89, 60,E, 5.8026
   37,   6.330, 311.15, 60,E, 5.7977
   38,   6.340, 310.28, 60,E, 5.8011
   39,   6.350, 331.51, 60,E, 5.7190
   40,   6.360, 275.35, 60,E, 5.9387
   41,   6.370, 285.42, 60,E, 5.8987
   42,   6.380, 304.11, 60,E, 5.8252
   43,   6.390, 297.41, 60,E, 5.8514
   44,   6.400, 290.20, 60,E, 5.8798
   45,   6.410, 295.24, 60,E, 5.8600
   46,   6.420, 290.43, 60,E, 5.8789
   47,   6.430, 290.97, 60,E, 5.8768
   48,   6.440, 301.53, 60,E, 5.8353
   49,   6.450, 298.50, 60,E, 5.8472
   50,   6.460, 269.62, 60,E, 5.9616
   51,   6.470, 306.29, 60,E, 5.8167
   52,   6.480, 307.78, 60,E, 5.8109
   53,   6.490, 300.68, 60,E, 5.8386
   54,   6.500, 299.20, 60,E, 5.8444
   55,   6.510, 289.27, 60,E, 5.8835
   56,   6.520, 295.39, 60,E, 5.8594
   57,   6.530, 304.34, 60,E, 5.8243
   58,   6.540, 266.73, 60,E, 5.9732
   59,   6.550, 294.69, 60,E, 5.8621
   60,   6.560, 291.98, 60,E, 5.8728
   61,   6.570, 274.21, 60,E, 5.9433
   62,   6.580, 296.63, 60,E, 5.8545
   63,   6.590, 321.93, 60,E, 5.7559
   64,   6.600, 306.06, 60,E, 5.8176
   65,   6.610, 287.88, 60,E, 5.8890
   66,   6.620, 294.77, 60,E, 5.8618
   67,   6.630, 313.58, 60,E, 5.7883
   68,   6.640, 330.08, 60,E, 5.7245
   69,   6.650, 314.05, 60,E, 5.7864
   70,   6.660, 295.08, 60,E, 5.8606
   71,   6.670, 278.96, 60,E, 5.9244
   72,   6.680, 310.13, 60,E, 5.8017
   73,   6.690, 309.97, 60,E, 5.8023
   74,   6.700, 297.80, 60,E, 5.8499
   75,   6.710, 292.83, 60,E, 5.8694
   76,   6.720, 280.57, 60,E, 5.9180
   77,   6.730, 293.22, 60,E, 5.8679
   78,   6.740, 257.70, 60,E, 6.0095
   79,   6.750, 261.87, 60,E, 5.9927
   80,   6.760, 257.17, 60,E, 6.0117
   81,   6.770, 279.34, 60,E, 5.9229
   82,   6.780, 268.94, 60,E, 5.9644
   83,   6.790, 297.64, 60,E, 5.8505
   84,   6.800, 315.15, 60,E, 5.7822
   85,   6.810, 310.28, 60,E, 5.8011
   86,   6.820, 291.90, 60,E, 5.8731
   87,   6.830, 312.17, 60,E, 5.7938
   88,   6.840, 296.32, 60,E, 5.8557
   89,   6.850, 309.26, 60,E, 5.8051
   90,   6.860, 296.87, 60,E, 5.8536
   91,   6.870, 315.31, 60,E, 5.7816
   92,   6.880, 323.82, 60,E, 5.7486
   93,   6.890, 284.34, 60,E, 5.9030
   94,   6.900, 292.83, 60,E, 5.8694
   95,   6.910, 290.90, 60,E, 5.8771
   96,   6.920, 302.78, 60,E, 5.8304
