[SAMPLE PARAMETERS]
Time/Date of Scan,          30-Mar-2018   10:11:02
Study ID,                   TW
Sample ID,                  TW-5-403-45
File Name,                  TW-5-403-45
Species,                    PIPO
Operator,                   DV
Description,                North; Bad; Fuzzy look, no pith, lots of blue stain; uneven thick
First Ring Year,               2016
First Ring Type,                EW
Is pith present,                No
No. pith rings missing,           4
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             85
Step Size,                        1
Sample Length,               130.00
Measured Length,             114.48
Sample Thickness,              2.28
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              388.50
Actual Density,              388.60
Early Wood Maximum Density,  424.95
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  198.24
Pos of EW Min Density,        93.47
Late Wood Maximum Density,   902.62
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.13
Pos of LW Min Density,        49.81
Avg % Late Wood in Sample,    28.90
Zero voltage,                  0.0458
Free air voltage,              6.9910
Mass Absorption Coefficient,   2.687178
Number of scanned data points,  13000
Number of used data points,     11413
[SAMPLE DATA]
    0,   2.660, 249.48, 85,E, 6.0001
    1,   2.670, 241.36, 85,E, 6.0300
    2,   2.680, 236.50, 85,E, 6.0480
    3,   2.690, 278.03, 85,E, 5.8960
    4,   2.700, 247.07, 85,E, 6.0089
    5,   2.710, 236.08, 85,E, 6.0495
    6,   2.720, 261.48, 85,E, 5.9561
    7,   2.730, 270.03, 85,E, 5.9250
    8,   2.740, 250.64, 85,E, 5.9958
    9,   2.750, 235.43, 85,E, 6.0519
   10,   2.760, 251.47, 85,E, 5.9927
   11,   2.770, 277.27, 85,E, 5.8987
   12,   2.780, 271.96, 85,E, 5.9180
   13,   2.790, 258.55, 85,E, 5.9668
   14,   2.800, 250.23, 85,E, 5.9973
   15,   2.810, 272.97, 85,E, 5.9143
   16,   2.820, 276.85, 85,E, 5.9003
   17,   2.830, 245.83, 85,E, 6.0135
   18,   2.840, 285.74, 85,E, 5.8682
   19,   2.850, 311.66, 85,E, 5.7758
   20,   2.860, 299.04, 85,E, 5.8206
   21,   2.870, 303.84, 84,E, 5.8035
   22,   2.880, 315.20, 84,E, 5.7632
   23,   2.890, 304.44, 84,E, 5.8014
   24,   2.900, 317.02, 84,E, 5.7568
   25,   2.910, 320.92, 84,E, 5.7431
   26,   2.920, 322.31, 84,E, 5.7382
   27,   2.930, 345.03, 84,E, 5.6589
   28,   2.940, 350.41, 84,E, 5.6403
   29,   2.950, 395.81, 84,E, 5.4855
   30,   2.960, 432.36, 84,L, 5.3641
   31,   2.970, 450.28, 84,L, 5.3055
   32,   2.980, 494.34, 84,L, 5.1642
   33,   2.990, 544.29, 84,L, 5.0085
   34,   3.000, 513.75, 84,L, 5.1031
   35,   3.010, 509.75, 84,L, 5.1157
   36,   3.020, 454.42, 84,L, 5.2921
   37,   3.030, 451.88, 84,L, 5.3003
   38,   3.040, 405.65, 84,E, 5.4526
   39,   3.050, 394.99, 84,E, 5.4883
   40,   3.060, 395.18, 84,E, 5.4877
   41,   3.070, 348.73, 84,E, 5.6461
   42,   3.080, 333.98, 84,E, 5.6973
   43,   3.090, 332.76, 84,E, 5.7016
   44,   3.100, 348.03, 84,E, 5.6485
   45,   3.110, 324.65, 84,E, 5.7300
   46,   3.120, 357.76, 84,E, 5.6149
   47,   3.130, 340.64, 84,E, 5.6741
   48,   3.140, 312.87, 84,E, 5.7715
