SampleID,Density
TW-1-146-1,451.961065
TW-1-146-2,383.5679728
TW-1-146-3,406.17309
TW-1-146-4,358.2633988
TW-1-146-4.5,381.3548037
TW-1-146-5,377.1487904
TW-1-188-1,464.03895
TW-1-188-2,421.8703001
TW-1-188-3,365.4585137
TW-1-188-4,365.9721176
TW-1-188-4.5,404.8585895
TW-1-188-5,386.9415204
TW-1-188-6,356.8762544
TW-1-44-1,441.4241716
TW-1-44-2,424.1330913
TW-1-44-3,410.9970342
TW-1-44-4,415.3515542
TW-1-44-4.5,436.3351576
TW-1-44-5,385.9888151
TW-1-44-6,387.9599156
TW-10-187-1,556.9525373
TW-10-187-2,505.7315743
TW-10-187-3,504.6762662
TW-10-187-4,508.869581
TW-10-187-4.5,505.1192117
TW-10-187-5,494.1774005
TW-10-187-6,501.1169924
TW-10-367-1,508.8518878
TW-10-367-2,448.3609969
TW-10-367-3,453.7078401
TW-10-367-4,407.2847663
TW-10-367-4.5,468.5480531
TW-10-367-5,420.1733022
TW-10-367-6,405.6189681
TW-10-391-1,491.1004063
TW-10-391-2,478.8245959
TW-10-391-3,468.1717138
TW-10-391-4,426.8963685
TW-10-391-4.5,486.5449408
TW-10-391-5,428.3883491
TW-10-391-6,0
TW-11-185-1,541.6953356
TW-11-185-2,462.5714994
TW-11-185-3,419.2687029
TW-11-185-4,390.0770319
TW-11-185-4.5,472.2964588
TW-11-185-5,398.7642135
TW-11-185-6,427.5484675
TW-11-185-7,402.2242406
TW-11-60-1,530.3249414
TW-11-60-2,455.5195222
TW-11-60-3,399.2755099
TW-11-60-4,409.3168791
TW-11-60-4.5,436.5737209
TW-11-60-5,410.1968721
TW-11-60-6,402.6750949
TW-11-60-7,409.6015349
TW-11-60-8,408.3790065
TW-11-73-1,481.5832074
TW-11-73-2,426.4907479
TW-11-73-3,436.8216276
TW-11-73-4,405.122676
TW-11-73-4.5,461.3544847
TW-11-73-5,412.8659217
TW-11-73-6,421.1500063
TW-12-21-1,452.1221705
TW-12-21-2,409.8188504
TW-12-21-3,421.890986
TW-12-21-4,411.7446387
TW-12-21-4.5,419.3236477
TW-12-21-5,408.5200514
TW-12-21-6,372.912136
TW-12-21-7,403.9460329
TW-12-21-8,435.5743782
TW-12-238-1,438.113469
TW-12-238-2,436.413875
TW-12-238-3,431.2641193
TW-12-238-4,422.857244
TW-12-238-4.5,458.3989606
TW-12-238-5,451.9416024
TW-12-238-6,446.8008497
TW-12-296-1,523.2193903
TW-12-296-2,480.1388112
TW-12-296-3,483.9585915
TW-12-296-4,415.0314428
TW-12-296-4.5,489.8624131
TW-12-296-5,413.5270351
TW-12-296-6,407.6128417
TW-12-296-7,440.5989125
TW-13-133-1,494.9349074
TW-13-133-2,440.3036987
TW-13-133-3,413.5592072
TW-13-133-4,392.6932818
TW-13-133-4.5,416.610055
TW-13-133-5,395.7102139
TW-13-133-6,393.8175094
TW-13-176-1,487.7138179
TW-13-176-2,450.675873
TW-13-176-3,447.1221988
TW-13-176-4,431.9160966
TW-13-176-4.5,465.6622723
TW-13-176-5,437.6296281
TW-13-176-6,447.3660557
TW-13-94-1,546.7124096
TW-13-94-2,481.7668902
TW-13-94-3,420.7019822
TW-13-94-4,393.1989889
TW-13-94-4.5,488.6267244
TW-13-94-5,406.6013996
TW-13-94-6,450.5716173
TW-14-189-1,537.9574129
TW-14-189-2,492.2715106
TW-14-189-3,434.4841247
TW-14-189-4,398.8847526
TW-14-189-4.5,469.9613831
TW-14-189-5,409.1229024
TW-14-189-6,439.573982
TW-14-189-7,413.052564
TW-14-189-8,420.3753602
TW-14-212-1,511.6861793
TW-14-212-2,447.950173
TW-14-212-3,414.0785219
TW-14-212-4,394.17793
TW-14-212-4.5,456.7796481
TW-14-212-5,423.2365321
TW-14-212-6,427.0693905
TW-14-212-7,410.3518083
TW-14-237-1,450.9712556
TW-14-237-2,392.738846
TW-14-237-3,376.5035865
TW-14-237-4,394.5047805
TW-14-237-4.5,402.9952542
TW-14-237-5,380.7983637
TW-14-237-6,369.8694864
TW-14-237-7,398.0622844
TW-14-237-8,385.7618116
TW-15-139-1,437.7297509
TW-15-139-2,403.4607876
TW-15-139-3,377.3739977
TW-15-139-4,358.0701391
TW-15-139-4.5,427.0598276
TW-15-139-5,379.7344469
TW-15-139-6,382.7545142
TW-15-36-1,472.376857
