"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1996-09","88","0","0","26","0","0.0","1.55","88","464","5.87","0.0","53.3","69.3","37.3"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1996-10","88","6","3","8","6","4.5","0.40","80","1098","1.17","12.3","42.4","60.3","24.4"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1996-11","88","6","5","8","7","5.0","0.75","67","1985","2.33","15.9","35.4","51.0","19.9"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1996-12","88","5","0","0","3","0.5","0.71","60","2934","0.94","0.5","32.2","47.1","17.2"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-01","0","23","4","-14","38","23.0","2.43","58","4007","6.56","46.0","26.7","40.2","13.2"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-02","0","24","2","-3","21","16.8","1.32","56","5000","1.56","19.4","26.8","43.7","9.9"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-03","0","11","0","-18","21","0.0","0.01","71","5822","0.01","0.0","36.4","57.2","15.6"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-04","0","8","4","12","22","14.8","1.30","70","6581","2.97","32.6","38.7","54.5","22.9"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-05","0","0","0","15","0","0.0","0.10","83","7004","0.15","0.0","51.4","72.2","30.5"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-06","0","0","0","25","0","0.0","0.52","82","7349","0.62","0.0","53.5","74.3","32.7"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-07","14","0","0","25","0","0.0","0.11","90","130","0.34","0.0","61.1","82.5","39.8"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-08","20","0","0","39","0","0.0","1.08","85","216","5.68","0.0","62.3","78.0","46.6"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-09","20","0","0","27","0","0.0","1.75","80","419","3.56","0.0","58.3","73.8","42.7"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-10","20","1","0","12","1","0.6","1.44","76","1043","1.95","0.6","44.1","61.0","27.1"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-11","20","3","1","12","2","1.5","0.39","70","1825","0.96","2.0","36.0","52.4","19.6"
"USC00023009","FLAGSTAFF 4 SW, AZ US","1997-12","20","18","4","-15","11","10.0","0.84","55","2985","2.24","17.6","24.9","40.1","9.8"
