Scan,From bottom 5?,Reason
TW-1-146-1,1,
TW-2-211-6,,Dropped only when all plots pooled
TW-2-316-2,1,
TW-3-192-3,1,Compression Wood
TW-3-216-7,,
TW-4-472-1,1,
TW-4-472-45,1,
TW-4-472-2,1,
TW-4-472-3,1,
TW-4-472-4,1,
TW-4-472-5,,
TW-5-366-1,1,Impossible to date
TW-7-98-5,,Dropped only when all plots pooled
TW-8-439-1,1,
TW-8-576-1,1,
TW-9-103-1,1,
TW-9-317-2,1,
TW-9-317-3,1,
TW-10-187-1,1,Impossible to date
TW-10-187-45,1,
TW-10-187-4,1,
TW-11-73-1,1,
TW-12-296-45,1,
TW-13-176-4,1,
TW-13-176-45,1,
TW-15-36-4,1,
TW-15-76-7,,
TW-17-19-7,,
TW-18-111-8,,
TW-18-67-8,,
,22,
