"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1923-12",,,"12","2,6","9",",6","-15.6",",6,22,","178","2,,6,31,","127.0",",,6,30,","36.3","1,,6,26,","15.0",",6,06,",,,"98.7","1,,,6","487",",,,6","-1.6",",6","3.6",",,,6","-6.7",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-02",,,"0",",6","0",",6","-10.0",",6,04,","0",",T,6,21,+","13.0",",,6,10,","1.3",",,6,10,","15.6",",6,19,",,,"2.1",",,,6","21",",,,6","2.7",",6","10.7",",,,6","-5.3",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-03",,,,,"7",",6","-15.6",",6,31,",,,"254.0",",,6,28,","12.2","4,,6,28,+","15.6",",6,01,",,,"61.1","4,,,6","631",",,,6","-0.7",",6","5.9",",,,6","-7.4",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-04",,,,,"1","1,6","-8.9",",6,17,",,,"25.0","1,,6,02,","18.3","1,,6,11,","18.9",",6,29,",,,"45.7","1,,,6","38","1,,,6","5.1",",6","12.7",",,,6","-2.5",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-05",,,,,,,"-2.8",",6,14,",,,,,"0.8",",,6,30,","26.1",",6,17,",,,"0.8",",,,6",,,"11.2",",6","20.4",",,,6","1.9",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-06",,,,,,,"-1.1",",6,01,",,,,,"0.8",",,6,30,","32.8",",6,29,",,,"0.8",",,,6",,,"16.7",",6","27.4",",,,6","6.0",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-07",,,,,,,"3.3",",6,21,",,,,,"23.9",",,6,28,","30.0",",6,02,","16.8","6","73.9",",,,6",,,"18.4",",6","26.3",",,,6","10.4",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-08",,,,,,,"4.4",",6,22,",,,,,"7.4",",,6,08,","29.4",",6,27,+","39.1","6","9.4",",,,6",,,"17.9",",6","27.0",",,,6","8.9",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-09",,,,,,,"-2.2",",6,22,",,,,,"35.6",",,6,10,","27.8",",6,03,+","179.7","6","70.4",",,,6",,,"13.8",",6","22.8",",,,6","4.9",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-10",,,,,"0",",6","-7.8",",6,31,+",,,"0.0",",T,6,11,","39.4",",,6,07,","22.2",",6,01,","526.8","6","51.9",",,,6","0",",T,,6","7.1",",6","16.6",",,,6","-2.3",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-11",,,,,"1",",6","-11.1",",6,27,+",,,"38.0",",,6,12,","6.1","1,,6,12,","21.1",",6,02,","979.8","6","7.4","1,,,6","51",",,,6","3.2",",6","12.4",",,,6","-5.9",",,,6"
"USW00003103","FLAGSTAFF PULLIAM AIRPORT, AZ US","35.1441","-111.6663","2134.5","1924-12",,,"26","4,6",,,"-26.7",",6,26,","305","4,,6,26,+",,,"33.5",",,6,16,","15.6",",6,01,","1669.0","6","93.4",",,,6",,,"-3.9",",6","3.5",",,,6","-11.3",",,,6"
